"Gene","ENTREZID"
"RPS25","6230"
"OSBP","5007"
"SNX22","79856"
"NFIX","4784"
"WDFY1","57590"
"TPM4","7171"
"PRKD3","23683"
"MRPS15","64960"
"SMIM4",NA
"SLC24A3","57419"
"AMIGO2","347902"
"CEP135","9662"
"FKBP5","2289"
"ANPEP","290"
"GALNT1","2589"
"CUTA","51596"
"BRCA2","675"
"LSM14B","149986"
"ARMH1","339541"
"MAP3K1","4214"
"CXCR4","7852"
"APLNR","187"
"WDR47","22911"
"AIF1","199"
"LAMC1","3915"
"POLE4","56655"
"PPP2R5A","5525"
"PHOSPHO1","162466"
"FYTTD1","84248"
"ARMCX3","51566"
"ITGA4","3676"
"NSF","4905"
"FRG1BP","284802"
"ITPRID2","6744"
"BATF","10538"
"MLST8","64223"
"RAB5B","5869"
"HBA1","3039"
"CDCA3","83461"
"TNK2-AS1","100128262"
"IL15RA","3601"
"SLC39A10","57181"
"SP3","6670"
"LARS1","51520"
"TNXB","7148"
"LMAN1","3998"
"WWC2","80014"
"SRRM1","10250"
"UROD","7389"
"ACBD3","64746"
"UBE2E1","7324"
"SMC4","10051"
"MIA2","4253"
"HBM","3042"
"JUND","3727"
"DHX36","170506"
"WASHC4","23325"
"PPP1R12A","4659"
"HDGFL3","50810"
"PGLS","25796"
"PRDX2","7001"
"LGALS3BP","3959"
"RCBTB1","55213"
"SNAP23","8773"
"SSNA1","8636"
"OAZ2","4947"
"CST7","8530"
"COG5","10466"
"TGFBR1","7046"
"RPL13AP5","728658"
"B3GNT2","10678"
"CEP152","22995"
"CAMP","820"
"ACTR1A","10121"
"GOLPH3L","55204"
"IL1RAP","3556"
"MBLAC1","255374"
"RAB44","401258"
"SRPK2","6733"
"LRP12","29967"
"ACLY","47"
"TFG","10342"
"DARS1","1615"
"ISY1","57461"
"PALM2AKAP2","445815"
"EIF4G3","8672"
"AGO4","192670"
"KIF5B","3799"
"UXT","8409"
"UPF3A","65110"
"RPS19BP1","91582"
"SENP1","29843"
"SGF29","112869"
"IFT80","57560"
"NDUFS7","374291"
"PKHD1L1","93035"
"UBE3A","7337"
"LINC02908","401563"
"IRF1-AS1","441108"
"POLR3GL","84265"
"CFD","1675"
"IER2","9592"
"SORT1","6272"
"CDK8","1024"
"SON","6651"
"LDHA","3939"
"GSTZ1","2954"
"TMEM186","25880"
"CDK17","5128"
"KPNA4","3840"
"TMX1","81542"
"H2AJ","55766"
"HDGFL2","84717"
"FAM133B","257415"
"DNAJC18","202052"
"UFL1","23376"
"NEK4","6787"
"SCYL2","55681"
"HRAS","3265"
"OXR1","55074"
"H1-5","3009"
"IGF2BP3","10643"
"ST6GALNAC4","27090"
"CDCA7L","55536"
"ATP1B2","482"
"TSPO2","222642"
"ECI2","10455"
"MXD3","83463"
"AVL9","23080"
"EMSY-DT","120883616"
"PSMA4","5685"
"RPS27AP16","643358"
"TARBP1","6894"
"ADRM1","11047"
"ZNF524","147807"
"CCDC14","64770"
"AP3B1","8546"
"SELENOW","6415"
"PPOX","5498"
"ABLIM1","3983"
"RPL22P1","125371"
"HSPA13","6782"
"ITPK1","3705"
"PIK3AP1","118788"
"NDUFB11","54539"
"PWP1","11137"
"COX5B","1329"
"TRIM37","4591"
"LRPAP1","4043"
"SNRPD1","6632"
"DEFA4","1669"
"PJA2","9867"
"H1-4","3008"
"EPS15","2060"
"ATG4D","84971"
"FAH","2184"
"KPNA3","3839"
"ATP5IF1","93974"
"OTUD6B","51633"
"KBTBD2","25948"
"KIF14","9928"
"H2AC12","85235"
"TTC3","7267"
"FRRS1","391059"
"SWAP70","23075"
"BCAP31","10134"
"SNF8","11267"
"PDCD4","27250"
"H1-3","3007"
"FCGRT","2217"
"H2AC20","8338"
"ZDHHC3","51304"
"NKTR","4820"
"IQCD","115811"
"AP2S1","1175"
"ZNF25","219749"
"ADNP","23394"
"IGFBP4","3487"
"NDUFA1","4694"
"UBXN1","51035"
"ID1","3397"
"PTTG1","9232"
"EIF3B","8662"
"PITHD1","57095"
"PITX1","5307"
"PRTN3","5657"
"WDR18","57418"
"UQCRB","7381"
"NUDT8","254552"
"IQSEC3","440073"
"RALY","22913"
"USP9X","8239"
"HSPB1","3315"
"VAV1","7409"
"LSM14A","26065"
"KIF20B","9585"
"EIF1","10209"
"CHCHD6","84303"
"GSTO1","9446"
"RGL4","266747"
"DOCK8","81704"
"SEPTIN10","151011"
"LYRM7","90624"
"RTL6","84247"
"TAF2","6873"
"RPS20","6224"
"PPP1R14BP3","100507617"
"TSKS","60385"
"HECTD1","25831"
"POLR3B","55703"
"ARRB1","408"
"AKAP10","11216"
"LAGE3","8270"
"CAPZA1","829"
"BBC3","27113"
"SUCLG2","8801"
"YTHDF3-DT","101410533"
"LAMTOR1","55004"
"MOAP1","64112"
"POLR2I","5438"
"SMC5","23137"
"CD300LF","146722"
"AKR1C1","1645"
"SPNS3","201305"
"PNISR","25957"
"MYL4","4635"
"GADD45B","4616"
"SMIM10","644538"
"TXNRD2","10587"
"JAK1","3716"
"CCNI","10983"
"SOS2","6655"
"RIBC2","26150"
"SLTM","79811"
"HMG20A","10363"
"RPS5","6193"
"FCHO2","115548"
"RAB31","11031"
"CENPE","1062"
"CLPP","8192"
"RFXANK","8625"
"ADD3","120"
"RCHY1","25898"
"AUP1","550"
"DYNC1I2","1781"
"GTF2H2C","728340"
"DDX3X","1654"
"MIA3","375056"
"CAVIN2","8436"
"SUPV3L1","6832"
"TUT4","23318"
"UQCRQ","27089"
"DIS3","22894"
"UBALD2","283991"
"ACO1","48"
"RANBP1P1","389842"
"ARFGEF2","10564"
"TRAK2","66008"
"RSRC1","51319"
"MAK16","84549"
"POLK","51426"
"ADSS2","159"
"C10orf95-AS1","100505761"
"CCDC115","84317"
"SAC3D1","29901"
"AGAP3","116988"
"ARPC3","10094"
"NT5C2","22978"
"ZBTB4","57659"
"ASB6","140459"
"LIG4","3981"
"G3BP1","10146"
"RPS28P7","646195"
"RNF19A","25897"
"PRPF4B","8899"
"SOCS2","8835"
"C1orf35","79169"
"C17orf80","55028"
"PMVK","10654"
"NDUFB9","4715"
"ATP11B","23200"
"GTF3C3","9330"
"RPL36AL","6166"
"COMMD6","170622"
"PTPRC","5788"
"S100A4","6275"
"RPS12","6206"
"ZNF273","10793"
"H2AC11","8969"
"GASK1B","51313"
"UFM1","51569"
"RAD21","5885"
"RN7SL1","6029"
"PSTPIP2","9050"
"MRPL11","65003"
"PABPC1","26986"
"CRYZ","1429"
"TTK","7272"
"TTC19","54902"
"PRPF4","9128"
"AHSP","51327"
"ATP5MF","9551"
"ATP5F1E","514"
"FAR1","84188"
"PSMD13","5719"
"RPL13P12","388344"
"PPP6R3","55291"
"RNASEH2C","84153"
"GRAMD2B","65983"
"VWA5A","4013"
"CYP2F2P","171427"
"H1-2","3006"
"ERLIN1","10613"
"RPS16","6217"
"RPS28","6234"
"MRPL23","6150"
"NEDD1","121441"
"ZNF776","284309"
"PPP6R1","22870"
"LIF","3976"
"CLASP2","23122"
"CLIP1","6249"
"XK","7504"
"SWI5","375757"
"STK32C","282974"
"TMED2","10959"
"LTN1","26046"
"SEM1","7979"
"TPRA1","131601"
"CTDSPL2","51496"
"COPS3","8533"
"VAV3","10451"
"LUC7L","55692"
"PRPS2","5634"
"C20orf27",NA
"CRYZL2P","730102"
"ZNF217","7764"
"RFC1","5981"
"EFR3A","23167"
"PLOD2","5352"
"HBS1L","10767"
"EXOC5","10640"
"AP2B1","163"
"TCF3","6929"
"SUPT16H","11198"
"DYNC1I2P1","728532"
"PCNP","57092"
"EIF3K","27335"
"MECOM","2122"
"USP10","9100"
"TMC8","147138"
"RPL32","6161"
"SLC25A13","10165"
"EVPL","2125"
"H4C5","8367"
"COX6B2","125965"
"ARHGAP9","64333"
"TMCC1","23023"
"CNPPD1","27013"
"IPO5","3843"
"RIC1","57589"
"RPL6P27","645387"
"PAXX","286257"
"SMIM1","388588"
"RPL23","9349"
"STRN3","29966"
"PPP4R1","9989"
"STK35","140901"
"POLR2L","5441"
"GTF3A","2971"
"FAU","2197"
"FAF2","23197"
"VEZF1","7716"
"ZNF8-DT","105372482"
"HEIH","100859930"
"PPIH","10465"
"NXT2","55916"
"NDUFB1","4707"
"NAA15","80155"
"ATP6V0D1","9114"
"CDC73","79577"
"FNBP4","23360"
"H1-10","8971"
"FAM171A1","221061"
"ATP5PO","539"
"VPS13A","23230"
"DICER1-AS1","400242"
"GUK1","2987"
"GOLGB1","2804"
"SQLE","6713"
"RTN4RL2","349667"
"FKBP11","51303"
"VCL","7414"
"CHD1","1105"
"SEC11C","90701"
"PDIA4","9601"
"CDC37L1","55664"
"IRF1","3659"
"SCYL1","57410"
"LSM5","23658"
"ATP2C1","27032"
"MAX","4149"
"PLEKHA5","54477"
"ESF1","51575"
"PRMT3","10196"
"LINC01934","101927156"
"WBP11","51729"
"FIS1","51024"
"SART1","9092"
"ATAD2","29028"
"SURF2","6835"
"EHBP1","23301"
"NAPRT","93100"
"GOLGA1","2800"
"POMC","5443"
"PMM1","5372"
"RPL19","6143"
"LMAN2","10960"
"CD2AP-DT","118732299"
"BAG5","9529"
"RDX","5962"
"RPP25","54913"
"WASH9P","102723897"
"IPO8","10526"
"RUVBL2","10856"
"TTC13","79573"
"PPP4R3A","55671"
"HES6","55502"
"LRBA","987"
"CDK1","983"
"GOLM2","113201"
"RPL10","6134"
"RPS26","6231"
"SPAG9","9043"
"NDUFB10","4716"
"EIF4E","1977"
"NAA16","79612"
"SUV39H1","6839"
"NDRG1","10397"
"AQP1","358"
"TAF5","6877"
"PDK4","5166"
"TIMM10","26519"
"R3HDM1","23518"
"AKAP8L","26993"
"KLF3","51274"
"TEC","7006"
"TEC","100124696"
"CDYL","9425"
"RPL34P18","100271003"
"NIT2","56954"
"CPED1","79974"
"COX6B1","1340"
"MOB1A","55233"
"TMF1","7110"
"MAP3K7","6885"
"RPS15A","6210"
"MORC3","23515"
"SINHCAF","58516"
"LEPR","3953"
"OTUD6B-AS1","100506365"
"STAG2","10735"
"BNIP2","663"
"HMGCR","3156"
"ZZZ3","26009"
"PDLIM5","10611"
"SEC61G","23480"
"REST","5978"
"ADPGK","83440"
"SLC16A1","6566"
"REV1","51455"
"MFSD14B","84641"
"CLTB","1212"
"KAT7","11143"
"BTRC","8945"
"SATB1","6304"
"NOP9","161424"
"MRPL4","51073"
"RPS27","6232"
"NLRC5","84166"
"RNASE2","6036"
"HNRNPH2","3188"
"ZNF28","7576"
"WASHC2C","253725"
"LRP1","4035"
"IL1RL1","9173"
"SERINC3","10955"
"PKP1","5317"
"TSEN15","116461"
"ENO2","2026"
"STEAP3-AS1","100874111"
"PDHX","8050"
"PUM2","23369"
"GUSB","2990"
"MT-ATP8",NA
"METAP1","23173"
"CSPP1","79848"
"LINC01128","643837"
"COPS9","150678"
"HBQ1","3049"
"WAC","51322"
"YWHAZ","7534"
"RECQL","5965"
"KARS1","3735"
"DENND5A","23258"
"HOOK3","84376"
"VPS16","64601"
"USO1","8615"
"TGS1","96764"
"EGLN1","54583"
"LMF2","91289"
"SPATA24","202051"
"TNFRSF19","55504"
"SCX","642658"
"C9orf72","203228"
"NAA25","80018"
"DHX35","60625"
"XPC","7508"
"NRBP1","29959"
"SNRPA1","6627"
"OSBPL8","114882"
"HSP90AA1","3320"
"DECR2","26063"
"SHCBP1","79801"
"QPRT","23475"
"PEX1","5189"
"TXNL4A","10907"
"ZSWIM5","57643"
"UNC119B","84747"
"SDF2L1","23753"
"TRAPPC2L","51693"
"CMKLR1","1240"
"BPNT2","54928"
"NEXN","91624"
"ANKMY2","57037"
"TRIM5","85363"
"GADD45G","10912"
"ARHGEF12","23365"
"AP1AR","55435"
"FIGNL1","63979"
"SRBD1","55133"
"UEVLD","55293"
"TAOK3","51347"
"DGCR2","9993"
"GNPDA1","10007"
"ZNF131","7690"
"NEMF","9147"
"SLC9A6","10479"
"ELMO3","79767"
"TRPM7","54822"
"SEC23IP","11196"
"PPIP5K2","23262"
"DENND4C","55667"
"PELI3","246330"
"CCDC121","79635"
"TGIF1","7050"
"FAM166A","401565"
"APPL2","55198"
"CHMP2A","27243"
"CEACAM6","4680"
"EIF4H","7458"
"COX4I1","1327"
"WDR83","84292"
"ATP5MK","84833"
"GCSAML","148823"
"HBP1","26959"
"DYRK1A","1859"
"SCOC-AS1","100129858"
"CEP131","22994"
"PRKCQ","5588"
"STAM2","10254"
"VEGFA","7422"
"ALYREF","10189"
"MYH11","4629"
"WASH8P","100288778"
"MORF4L2","9643"
"RANBP9","10048"
"HDAC3","8841"
"LGR4","55366"
"PRKAR2B","5577"
"MAT2A","4144"
"SLC1A5","6510"
"ANXA4","307"
"SCART1","619207"
"TOP2A","7153"
"CDC42SE1","56882"
"KCNAB2","8514"
"DCAF17","80067"
"AKAP9","10142"
"G3BP2","9908"
"EXOSC5","56915"
"RNF20","56254"
"EVI5","7813"
"RAB3IL1","5866"
"PDCD6IPP2","646278"
"CRLF3","51379"
"SUCLG1","8802"
"NPIPP1","100874381"
"RNF43","54894"
"C9orf64",NA
"ARID2","196528"
"BLOC1S6","26258"
"ACADM","34"
"FGD5-AS1","100505641"
"SNRPFP1","170550"
"LILRA2","11027"
"SMARCA2","6595"
"ABI1","10006"
"NTMT1","28989"
"STK26","51765"
"AURKAIP1","54998"
"GPBP1L1","60313"
"DUSP23","54935"
"RPL34","6164"
"NIPBL-DT","646719"
"ANKRD27","84079"
"CDKN1B","1027"
"PSIP1","11168"
"CD163","9332"
"IER5","51278"
"SBNO1","55206"
"CKAP5","9793"
"VPS54","51542"
"SNHG19","100507303"
"APPL1","26060"
"C1orf122","127687"
"DMAP1","55929"
"RPS27A","6233"
"MAN2A1","4124"
"LHPP","64077"
"PDE3B","5140"
"NCOA4","8031"
"CFH","3075"
"SPDYE3","441272"
"CKAP2","26586"
"NDUFB2","4708"
"RPS3","6188"
"PUSL1","126789"
"ARRDC2","27106"
"C1orf109","54955"
"ECSIT","51295"
"ZNF200","7752"
"RPL15P3","653232"
"TMEM184C","55751"
"SLC25A39","51629"
"UQCC2","84300"
"JRKL","8690"
"SUSD1","64420"
"KCNE3","10008"
"BCL2L13","23786"
"MTCH2","23788"
"ACVR1","90"
"ASPSCR1","79058"
"ATL2","64225"
"MRPL47","57129"
"GMCL1","64395"
"CCAR1","55749"
"BSPRY","54836"
"TMEM86B","255043"
"ST6GAL1","6480"
"RHOBTB3","22836"
"RAI14","26064"
"DDX6","1656"
"OSBPL3","26031"
"SLC9A3R2",NA
"CERS2","29956"
"IDH1","3417"
"UTP25","27042"
"EDEM3","80267"
"RAB23","51715"
"STPG1","90529"
"SEC61A1","29927"
"TRMT13","54482"
"PPIL1","51645"
"NUP210","23225"
"TPT1","7178"
"NEK7","140609"
"FOXJ3","22887"
"RPL35","11224"
"CCNJ","54619"
"MIR23AHG","284454"
"TIGD1","200765"
"TOPORS","10210"
"ACSL6","23305"
"DUS1L","64118"
"GLE1","2733"
"NNT","23530"
"TYROBP","7305"
"ATIC","471"
"SNU13","4809"
"PTGES3","10728"
"SPPL3","121665"
"PM20D2","135293"
"NDUFS6","4726"
"ATAD5","79915"
"CARHSP1","23589"
"ADGRL1-AS1","100507373"
"FAM199X","139231"
"PSAP","5660"
"CPT2","1376"
"EIF4EP2","100131693"
"TCERG1","10915"
"HLA-A","3105"
"UBR5","51366"
"CDKN2A","1029"
"TSNAX","7257"
"PRKCQ-AS1","439949"
"TRMT11","60487"
"ZNF143","7702"
"STON2","85439"
"STRADB","55437"
"HP1BP3","50809"
"RNF4","6047"
"ZNF155","7711"
"SACM1L","22908"
"ZBTB8OS","339487"
"EBLN3P","100506710"
"NAA38","84316"
"CYB5R3","1727"
"RHOBTB1","9886"
"TIMM13","26517"
"RPLP1","6176"
"NUP153-AS1","105374952"
"RFX7","64864"
"GOLGA4","2803"
"HIRA","7290"
"SLC35D1","23169"
"EEF1D","1936"
"COA6","388753"
"PSMD4","5710"
"ZRANB2","9406"
"STARD4","134429"
"SYCE1L","100130958"
"PSMG1","8624"
"IL3RA","3563"
"SMCHD1","23347"
"ADPRM","56985"
"S100A6","6277"
"GXYLT1","283464"
"PCCA","5095"
"RPS6KB1","6198"
"TAF11","6882"
"ARCN1","372"
"LARP1B","55132"
"PC","5091"
"HMGN1P38","643790"
"CENPT","80152"
"ALKBH3","221120"
"PADI2","11240"
"MAF1","84232"
"EMC9","51016"
"STK24","8428"
"NUDT1","4521"
"CMTR2","55783"
"NOPCHAP1","121053"
"NR1H2","7376"
"MYL6","4637"
"CHCHD10","400916"
"ITGB1P1","100422691"
"WDR3","10885"
"SPDYE21","442572"
"SDCBP","6386"
"LAT2","7462"
"ECI1","1632"
"VPS8","23355"
"NOC2LP2","401010"
"DIMT1","27292"
"RPS8","6202"
"BAZ1A","11177"
"ERCC5","2073"
"RPL5P1","647436"
"CUEDC2","79004"
"MRPL20","55052"
"SMIM5","643008"
"JAK2","3717"
"NMT2","9397"
"PSMB6","5694"
"RPS4Y1","6192"
"CYB5R4","51167"
"DENND2D","79961"
"ADIPOR2","79602"
"PSMB8","5696"
"TCEA1","6917"
"KDM3A","55818"
"ARRDC4","91947"
"PVR","5817"
"ISOC2","79763"
"RPL10A","4736"
"NDUFV3","4731"
"MRPL54","116541"
"RMC1","29919"
"CYC1","1537"
"PPIA","5478"
"UGP2","7360"
"ZFYVE16","9765"
"HSH2D","84941"
"ISG15","9636"
"GOT2","2806"
"PINX1","54984"
"ANKRD28","23243"
"CCDC167","154467"
"AK4","205"
"XAB2","56949"
"TK1","7083"
"FAHD2A","51011"
"RPL18A","6142"
"TP53BP1","7158"
"LMLN","89782"
"SVBP","374969"
"TUBA4A","7277"
"ATAD2B","54454"
"MAP4K3","8491"
"RAPGEF2","9693"
"CDC42BPA","8476"
"IMP3","55272"
"WDR43","23160"
"USP28","57646"
"ALDH18A1","5832"
"WIPI2","26100"
"LDLRAD4","753"
"RRP7A","27341"
"UQCRFS1","7386"
"NDUFB7","4713"
"GTF3C4","9329"
"OR6L2P","81356"
"PLAGL1","5325"
"KIDINS220","57498"
"ANKRD13C","81573"
"TNK2","10188"
"ZFHX3","463"
"ZNF225","7768"
"CTU2","348180"
"CBR1","873"
"CH17-340M24.3",NA
"AAMDC","28971"
"LYSMD3","116068"
"GPCPD1","56261"
"FUBP3","8939"
"EEF1B2P3","644820"
"ATP5MJ","9556"
"FBXO34","55030"
"PYCARD","29108"
"PSMB3","5691"
"ERI3","79033"
"TCF12","6938"
"COL18A1-AS1","378832"
"POLR1H","30834"
"MTERF4","130916"
"CNOT6L","246175"
"RPS24","6229"
"MTDH","92140"
"TMEM101","84336"
"BTNL10",NA
"MINCR","100507316"
"SF3B2","10992"
"RPL21","6144"
"AP3M1","26985"
"NABP1","64859"
"PHGDH","26227"
"C19orf48",NA
"EIF4G2","1982"
"ZNF234","10780"
"ZMPSTE24","10269"
"KIF22","3835"
"PRX","57716"
"PPP1CA","5499"
"FHOD1","29109"
"SPTLC1","10558"
"TLE5","166"
"CDT1","81620"
"MRC1","4360"
"RHOBTB2","23221"
"GPS1","2873"
"MTRES1","51250"
"CEP83","51134"
"RNFT1","51136"
"ENPP3","5169"
"SCAF11","9169"
"FAM13B","51306"
"SRA1","10011"
"NEK1","4750"
"ATP6V0E1","8992"
"SGPP2","130367"
"KRAS","3845"
"CCDC136","64753"
"USP25","29761"
"BACH1","571"
"POMP","51371"
"ITPR2","3709"
"MGLL","11343"
"ZNF581","51545"
"ARFGEF1","10565"
"RNF167","26001"
"YES1","7525"
"ZNF382","84911"
"PLPBP","11212"
"PAPOLG","64895"
"FBL","2091"
"RPS3A","6189"
"TCEA3","6920"
"SCML2","10389"
"M6PR","4074"
"HEXD","284004"
"NOP56","10528"
"UBA52","7311"
"E2F2","1870"
"PTPN12","5782"
"SNAP29","9342"
"RAB3GAP1","22930"
"RSF1","51773"
"SF1","7536"
"PIK3CB","5291"
"TSR3","115939"
"RPL28","6158"
"KLHDC4","54758"
"COMT","1312"
"ESCO2","157570"
"LINC01036","104169671"
"A4GALT","53947"
"RGS20","8601"
"TXNDC16","57544"
"ZDHHC17","23390"
"RPLP0","6175"
"COL23A1","91522"
"MTND1P23","100887749"
"EMC3","55831"
"PDLIM7","9260"
"TMED8","283578"
"RPS9","6203"
"ACKR1","2532"
"PPP2CB","5516"
"STOML1","9399"
"MRPL41","64975"
"CHID1","66005"
"KLF1","10661"
"KMT2E-AS1","100216545"
"PRC1","9055"
"APMAP","57136"
"MICAL1","64780"
"WASH3P","374666"
"SMDT1","91689"
"KLHL2","11275"
"ETF1","2107"
"PPP1CC","5501"
"TMEM184A","202915"
"EIF2S3","1968"
"RNF181","51255"
"BZW1","9689"
"C6orf163","206412"
"SERINC1","57515"
"SIVA1","10572"
"TNFRSF1B","7133"
"DEF6","50619"
"PSMD9","5715"
"CEBPA-DT","80054"
"CALR","811"
"SPHK1","8877"
"AGPS","8540"
"CFAP97","57587"
"MED9","55090"
"RADX","55086"
"NONO","4841"
"ANKRD26","22852"
"RPSA","3921"
"OSBPL5","114879"
"UBP1","7342"
"WDR53","348793"
"DLAT","1737"
"ARRDC3","57561"
"PPP1R14A","94274"
"SLC20A1","6574"
"LENG1","79165"
"POLR3C","10623"
"PARN","5073"
"OSBPL11","114885"
"TTC37",NA
"MCCC2","64087"
"TMCO3","55002"
"DEFA3","1668"
"FOS","2353"
"SRSF11","9295"
"TMPRSS13","84000"
