# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "50" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/zju/桌面/2023_ZM_RNA/0.ref/Homo_sapiens.GRCh38.105.gtf.gz" "-o" "./6.featureCounts/D3_M3_expression.txt" "./5.alignment/D1.Hisat_aln.sorted.bam" "./5.alignment/D2.Hisat_aln.sorted.bam" "./5.alignment/D3.Hisat_aln.sorted.bam" "./5.alignment/M1.Hisat_aln.sorted.bam" "./5.alignment/M2.Hisat_aln.sorted.bam" "./5.alignment/M3.Hisat_aln.sorted.bam" 
Geneid	./5.alignment/D1.Hisat_aln.sorted.bam	./5.alignment/D2.Hisat_aln.sorted.bam	./5.alignment/D3.Hisat_aln.sorted.bam	./5.alignment/M1.Hisat_aln.sorted.bam	./5.alignment/M2.Hisat_aln.sorted.bam	./5.alignment/M3.Hisat_aln.sorted.bam
ENSG00000157881	423	502	487	535	587	466
ENSG00000116213	273	280	366	325	363	356
ENSG00000283611	0	0	0	0	0	0
ENSG00000238290	4	0	3	8	2	4
ENSG00000225387	0	0	0	0	0	0
ENSG00000048707	1668	1849	1832	1759	2020	1848
ENSG00000158748	3	0	0	2	0	5
ENSG00000235643	4	10	4	8	23	16
ENSG00000225196	0	0	0	0	0	2
ENSG00000130762	2	9	1	5	4	4
ENSG00000162444	0	0	0	2	2	1
ENSG00000279169	0	0	0	0	0	0
ENSG00000279625	0	0	0	0	0	0
ENSG00000180758	4	0	2	0	0	4
ENSG00000231219	0	0	0	0	0	0
ENSG00000184677	2629	2853	2863	2657	3305	3159
ENSG00000230679	0	2	0	0	0	2
ENSG00000270136	0	0	0	0	0	0
ENSG00000132879	8	9	6	8	0	8
ENSG00000187545	0	0	0	0	0	2
ENSG00000288398	93	98	89	79	96	68
ENSG00000224621	0	0	0	0	0	0
ENSG00000239810	0	0	0	0	2	0
ENSG00000285833	0	0	2	0	0	0
ENSG00000116721	0	0	0	1	0	2
ENSG00000215785	0	0	0	0	0	0
ENSG00000131697	164	213	153	218	213	254
ENSG00000284692	0	0	0	1	0	0
ENSG00000284745	0	0	0	0	1	0
ENSG00000225952	0	0	0	1	0	0
ENSG00000280222	0	0	0	2	0	0
ENSG00000188807	176	202	202	154	236	275
ENSG00000227634	0	0	0	0	0	2
ENSG00000198793	2996	3087	3090	3975	4627	4418
ENSG00000078900	30	33	32	26	37	42
ENSG00000285945	0	0	0	0	0	0
ENSG00000171819	0	0	1	0	0	0
ENSG00000229162	0	0	0	0	0	0
ENSG00000197921	12	11	10	4	2	4
ENSG00000233755	0	0	0	0	0	0
ENSG00000116288	6092	6192	6268	7682	9199	8625
ENSG00000238164	114	151	150	52	75	62
ENSG00000233929	0	1	0	0	0	5
ENSG00000271742	3	6	4	2	2	1
ENSG00000226396	56	64	62	39	71	58
ENSG00000232423	0	0	0	0	0	0
ENSG00000229247	0	0	0	0	0	0
ENSG00000169504	2587	2693	2798	2909	3465	3394
ENSG00000224311	0	0	0	0	0	0
ENSG00000225159	212	250	203	192	242	222
ENSG00000272088	0	0	0	0	0	0
ENSG00000228338	0	0	0	2	0	0
ENSG00000181773	6	10	18	26	2	8
ENSG00000241547	1	5	13	7	5	11
ENSG00000224129	0	0	0	0	0	0
ENSG00000234166	0	0	0	0	0	0
ENSG00000237436	3	4	3	13	6	3
ENSG00000233954	736	681	551	527	621	579
ENSG00000174950	0	4	0	0	3	0
ENSG00000235282	0	0	0	0	0	0
ENSG00000055070	2417	2657	2414	2812	3235	3431
ENSG00000175087	1094	1112	1152	799	1041	1019
ENSG00000171735	307	355	350	355	428	412
ENSG00000157191	1909	2042	2102	1460	1848	1835
ENSG00000284699	0	0	2	0	0	0
ENSG00000229985	0	0	0	0	0	2
ENSG00000230035	0	0	0	0	0	2
ENSG00000235185	1	1	0	0	0	0
ENSG00000236782	1	3	0	5	0	0
ENSG00000116663	13	13	21	2	8	9
ENSG00000225643	1	0	2	7	5	5
ENSG00000284666	0	0	0	0	0	0
ENSG00000243659	2	1	0	1	1	0
ENSG00000228943	0	0	0	0	0	0
ENSG00000232848	0	0	2	0	0	0
ENSG00000234397	0	0	0	0	0	0
ENSG00000284309	0	0	0	0	0	0
ENSG00000269925	0	2	6	3	4	3
ENSG00000162511	2710	3040	2616	2941	3138	3632
ENSG00000158014	7	14	12	8	8	3
ENSG00000204138	2487	3011	2713	2603	2926	2944
ENSG00000233419	0	0	0	0	0	0
ENSG00000235263	0	2	0	0	0	0
ENSG00000228176	0	0	0	0	0	2
ENSG00000231251	0	0	0	0	0	0
ENSG00000142675	8	10	11	11	12	14
ENSG00000197245	6	11	10	4	2	2
ENSG00000231949	0	0	0	0	2	0
ENSG00000261025	0	0	0	0	0	0
ENSG00000116237	718	829	727	712	832	829
ENSG00000158195	5380	6374	5819	5493	6048	6223
ENSG00000130772	217	272	236	233	260	242
ENSG00000215899	0	0	0	2	0	2
ENSG00000237429	1	6	2	3	0	2
ENSG00000271398	2	9	2	5	3	0
ENSG00000225011	0	0	0	0	0	0
ENSG00000240731	31	55	37	41	42	50
ENSG00000235069	0	0	0	0	0	0
ENSG00000284676	2	0	0	0	0	0
ENSG00000237058	0	0	0	0	0	0
ENSG00000233399	0	0	0	0	0	0
ENSG00000090020	314	310	282	407	466	463
ENSG00000225990	0	0	0	0	0	0
ENSG00000157978	993	1134	1021	1217	1414	1388
ENSG00000226944	0	0	0	0	2	0
ENSG00000270282	0	0	0	0	0	0
ENSG00000130770	24114	27713	25674	16567	20315	18571
ENSG00000235131	1	2	0	0	4	2
ENSG00000229044	3	2	2	0	2	1
ENSG00000162512	241	349	229	123	91	141
ENSG00000179840	0	0	0	0	0	0
ENSG00000272449	14	8	13	15	6	14
ENSG00000214973	62	74	77	79	87	84
ENSG00000158006	60	100	125	79	111	73
ENSG00000214812	0	0	0	0	0	0
ENSG00000142784	2807	3047	2986	3412	3580	3699
ENSG00000227950	2	0	0	4	0	0
ENSG00000126698	17151	17636	17691	18625	21162	20298
ENSG00000229447	3	4	6	14	11	8
ENSG00000229607	0	0	0	0	0	0
ENSG00000229994	102	170	101	96	125	124
ENSG00000130766	1954	2332	2075	3516	4187	4037
ENSG00000168528	46	58	59	21	24	23
ENSG00000196581	2	5	3	4	2	0
ENSG00000169403	12	8	4	2	10	11
ENSG00000117676	1932	2307	2216	1631	1832	1697
ENSG00000225126	0	0	0	0	0	0
ENSG00000084628	2	3	2	0	0	0
ENSG00000060688	2307	2531	2745	2441	3152	2841
ENSG00000236335	0	0	0	0	0	0
ENSG00000171612	153	165	148	239	316	238
ENSG00000241169	0	0	0	0	0	0
ENSG00000227001	4	4	5	8	10	8
ENSG00000270927	0	0	0	0	0	0
ENSG00000162458	7	3	5	10	2	6
ENSG00000188910	0	8	15	0	6	10
ENSG00000230523	0	0	0	0	0	0
ENSG00000186056	24	21	36	37	35	33
ENSG00000116138	295	279	311	350	393	394
ENSG00000231207	0	0	0	0	0	0
ENSG00000142765	90	97	76	25	28	10
ENSG00000158161	1301	1185	1334	1332	1582	1532
ENSG00000270330	0	0	2	0	2	0
ENSG00000142684	0	0	0	0	0	0
ENSG00000234619	1	2	2	1	2	0
ENSG00000121769	59	58	33	49	48	68
ENSG00000157330	0	0	0	0	0	2
ENSG00000142627	27	28	21	25	23	10
ENSG00000284668	0	2	0	0	4	0
ENSG00000233234	1	0	0	0	0	0
ENSG00000142632	88	83	77	49	66	69
ENSG00000234593	2	2	4	12	20	24
ENSG00000162490	6	0	8	6	3	0
ENSG00000158292	222	113	90	86	58	43
ENSG00000270605	12	15	8	9	11	27
ENSG00000238199	0	0	0	3	1	3
ENSG00000142733	76	89	79	46	42	45
ENSG00000189337	17	3	6	8	8	15
ENSG00000270601	0	1	0	0	0	0
ENSG00000233268	0	0	0	0	0	0
ENSG00000232912	6	0	2	4	4	4
ENSG00000235084	4	9	10	6	7	7
ENSG00000235143	0	0	0	0	4	0
ENSG00000225478	0	0	0	0	0	0
ENSG00000225077	0	2	2	0	3	7
ENSG00000028137	183	242	254	69	80	85
ENSG00000223944	0	2	0	0	4	0
ENSG00000238249	0	0	1	0	0	0
ENSG00000187952	1	2	9	2	8	15
ENSG00000237938	24	39	20	27	24	29
ENSG00000227409	0	0	2	0	0	0
ENSG00000204464	0	0	0	2	0	0
ENSG00000233372	0	0	0	0	0	0
ENSG00000162460	0	0	0	0	2	0
ENSG00000283259	0	2	0	0	0	0
ENSG00000142687	1111	1159	1173	1520	1631	1621
ENSG00000284543	17	19	24	1	0	2
ENSG00000226166	0	0	0	0	0	0
ENSG00000130939	2500	2599	2385	2476	2862	2767
ENSG00000236216	0	3	0	0	0	0
ENSG00000175147	0	0	0	3	2	1
ENSG00000236266	2	0	1	2	1	1
ENSG00000127472	0	1	0	0	0	0
ENSG00000231103	0	0	0	2	0	0
ENSG00000060656	11	10	3	12	1	9
ENSG00000163867	182	188	174	181	204	209
ENSG00000232768	1	0	0	0	0	0
ENSG00000230214	0	0	0	2	0	0
ENSG00000189280	9	4	9	2	0	4
ENSG00000134698	935	885	962	707	912	877
ENSG00000134690	2718	3012	2714	2690	2902	2801
ENSG00000272420	2	2	8	3	2	1
ENSG00000224333	0	0	0	0	0	0
ENSG00000132881	76	93	81	84	79	76
ENSG00000273274	1	0	0	0	0	0
ENSG00000224321	2	8	6	4	2	4
ENSG00000116251	811	853	889	893	1083	1015
ENSG00000272510	0	0	0	0	0	0
ENSG00000158286	7	10	9	5	11	6
ENSG00000236648	0	0	0	0	0	0
ENSG00000232273	4	2	6	12	4	8
ENSG00000009709	0	0	0	0	2	0
ENSG00000043514	412	469	358	379	488	401
ENSG00000186543	7	2	4	1	8	3
ENSG00000287396	0	0	0	15	11	17
ENSG00000162510	10	6	13	3	17	22
ENSG00000179002	2	0	0	1	0	0
ENSG00000223589	0	0	0	0	0	0
ENSG00000188984	0	0	0	2	0	0
ENSG00000229259	0	0	0	2	2	0
ENSG00000270171	2	2	0	0	0	0
ENSG00000158008	0	0	3	6	1	3
ENSG00000269732	0	0	0	0	0	0
ENSG00000130940	134	185	141	190	151	174
ENSG00000116771	16	18	18	4	11	14
ENSG00000237301	7	12	7	2	12	2
ENSG00000162585	272	297	325	231	301	250
ENSG00000163879	28	20	15	28	10	15
ENSG00000227527	1	8	0	2	0	4
ENSG00000228823	0	0	0	0	0	0
ENSG00000010803	594	567	632	386	444	415
ENSG00000169991	187	227	265	368	415	397
ENSG00000116954	931	988	865	1333	1449	1374
ENSG00000228589	225	192	410	121	161	475
ENSG00000163873	0	0	6	0	4	2
ENSG00000233431	0	2	0	0	0	0
ENSG00000117215	0	0	0	0	0	2
ENSG00000196449	148	161	100	127	154	136
ENSG00000250575	0	0	0	0	0	1
ENSG00000237700	0	0	0	0	0	0
ENSG00000116661	1	4	4	1	2	5
ENSG00000230163	0	0	0	0	0	0
ENSG00000227538	0	0	0	0	0	0
ENSG00000232208	0	7	0	4	4	6
ENSG00000162461	22	40	33	28	36	20
ENSG00000236500	0	0	0	0	0	0
ENSG00000044012	0	0	2	0	0	0
ENSG00000179051	3827	4267	4318	3862	4428	4179
ENSG00000215895	4	6	5	2	6	4
ENSG00000231868	10	7	5	37	29	30
ENSG00000284650	0	0	0	0	0	0
ENSG00000237329	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	2
ENSG00000270850	0	0	0	0	0	0
ENSG00000287510	6	0	6	4	0	4
ENSG00000126067	473	538	512	582	701	657
ENSG00000274944	0	0	0	0	0	0
ENSG00000132906	153	192	127	243	212	279
ENSG00000197312	8042	8749	8133	9710	10177	10174
ENSG00000284748	0	2	0	0	0	2
ENSG00000272078	1	6	0	4	4	0
ENSG00000173660	8272	8868	7554	7436	8848	8016
ENSG00000224592	0	0	0	1	0	0
ENSG00000233728	0	0	0	0	0	0
ENSG00000230451	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	0	0
ENSG00000215900	0	0	0	0	0	0
ENSG00000092847	551	632	585	692	832	743
ENSG00000284632	0	4	2	0	1	0
ENSG00000204510	0	0	0	0	0	0
ENSG00000241014	2	5	4	2	0	1
ENSG00000054118	28471	30244	28987	34124	40740	38422
ENSG00000254553	0	0	0	0	0	4
ENSG00000230415	13	16	11	10	16	2
ENSG00000177181	1	2	1	7	3	0
ENSG00000284653	0	0	0	0	0	0
ENSG00000237749	17	20	13	10	6	12
ENSG00000224863	0	0	2	0	0	0
ENSG00000276747	0	0	4	0	3	0
ENSG00000284705	0	0	2	0	0	2
ENSG00000287828	1	0	0	0	0	2
ENSG00000228776	0	0	0	0	0	0
ENSG00000236009	0	0	0	0	0	0
ENSG00000228526	78	75	59	42	46	29
ENSG00000159339	7	6	6	0	4	2
ENSG00000284678	1	0	2	0	0	0
ENSG00000223814	0	0	0	0	0	0
ENSG00000197982	177	227	161	192	178	209
ENSG00000225158	0	0	0	0	0	0
ENSG00000261781	0	2	0	0	1	0
ENSG00000183317	2	2	2	4	0	1
ENSG00000250894	0	0	0	0	0	0
ENSG00000183386	126	99	83	135	95	90
ENSG00000284743	0	0	0	0	0	0
ENSG00000158315	7	7	15	9	7	9
ENSG00000229213	0	0	0	0	0	0
ENSG00000243749	0	0	0	0	0	0
ENSG00000204084	983	1118	893	1113	1270	1239
ENSG00000186973	0	0	0	2	0	0
ENSG00000271806	0	2	0	0	7	2
ENSG00000146463	1393	1579	1581	1723	2044	1800
ENSG00000279214	0	0	0	0	0	0
ENSG00000183520	1824	2044	2025	2102	2705	2370
ENSG00000271164	0	0	0	0	0	0
ENSG00000090686	11514	12528	12099	10771	12517	11836
ENSG00000271741	0	0	0	0	0	0
ENSG00000214141	0	0	0	0	0	0
ENSG00000142686	540	565	557	566	616	569
ENSG00000224751	0	2	2	0	0	0
ENSG00000279096	0	0	0	0	0	2
ENSG00000117148	2	0	0	0	2	0
ENSG00000230585	4	1	2	2	5	2
ENSG00000117000	1180	1279	1313	1451	1694	1769
ENSG00000284989	0	0	0	0	0	0
ENSG00000178585	249	343	368	277	387	398
ENSG00000231630	0	0	0	2	0	0
ENSG00000092853	8482	8914	8898	12265	13786	13251
ENSG00000255811	0	0	0	0	0	0
ENSG00000198754	5	2	2	0	2	4
ENSG00000134697	7684	8081	7654	8754	10512	10437
ENSG00000187513	0	4	0	2	5	2
ENSG00000238145	0	0	0	0	0	0
ENSG00000225142	0	0	0	0	0	0
ENSG00000230138	0	0	0	0	0	0
ENSG00000223390	0	0	0	0	0	0
ENSG00000285823	0	0	0	0	0	0
ENSG00000284720	0	0	0	0	0	0
ENSG00000225028	0	0	0	0	0	0
ENSG00000225671	0	0	0	0	0	2
ENSG00000116151	600	581	638	541	697	577
ENSG00000226147	0	0	0	0	0	0
ENSG00000182873	3	13	4	0	5	6
ENSG00000286518	0	0	0	0	0	0
ENSG00000178715	2	4	1	7	4	3
ENSG00000006555	0	0	0	2	4	5
ENSG00000236111	0	2	1	2	0	2
ENSG00000066056	7	12	3	7	9	8
ENSG00000214114	182	184	211	202	207	194
ENSG00000173436	29	44	34	23	26	45
ENSG00000116544	7	3	1	8	0	2
ENSG00000231900	0	0	0	0	0	0
ENSG00000236723	0	0	1	1	2	0
ENSG00000232467	0	0	0	0	0	0
ENSG00000117016	235	208	204	241	291	226
ENSG00000121310	241	339	278	92	115	105
ENSG00000169213	4	11	4	2	6	2
ENSG00000163866	1035	1180	1042	1091	1312	1250
ENSG00000225779	0	0	1	0	0	0
ENSG00000236546	0	0	0	0	0	1
ENSG00000284601	0	0	0	0	0	0
ENSG00000049249	11	0	2	4	4	2
ENSG00000237130	0	0	0	0	0	0
ENSG00000116990	4	1	2	4	2	4
ENSG00000143001	0	0	0	0	0	0
ENSG00000229716	0	0	0	0	0	0
ENSG00000226133	0	0	0	0	0	2
ENSG00000227416	0	0	0	0	0	0
ENSG00000232335	3	2	1	5	8	4
ENSG00000260971	2	0	2	0	0	1
ENSG00000259832	0	0	0	0	0	0
ENSG00000284696	4	0	0	0	0	0
ENSG00000238242	0	0	0	0	0	0
ENSG00000285839	0	0	0	0	0	0
ENSG00000237290	0	0	0	0	0	0
ENSG00000232762	1	0	3	2	0	2
ENSG00000117419	368	324	338	501	399	519
ENSG00000162384	374	405	340	426	519	532
ENSG00000162391	1	1	0	2	2	0
ENSG00000174348	2	0	0	0	2	0
ENSG00000154198	0	0	2	0	2	0
ENSG00000117859	5111	5296	5281	4996	5649	5566
ENSG00000228121	0	0	0	0	0	0
ENSG00000253313	2	0	0	0	4	0
ENSG00000162396	48	39	42	56	61	54
ENSG00000203995	0	0	0	3	0	0
ENSG00000227742	6	6	6	0	3	7
ENSG00000284686	0	0	0	0	0	2
ENSG00000162378	404	405	369	571	716	622
ENSG00000233079	0	0	2	2	0	0
ENSG00000162599	3415	3639	3804	2781	3701	3156
ENSG00000259818	6	4	0	0	8	15
ENSG00000229444	0	0	1	0	0	0
ENSG00000240563	2	4	2	6	16	10
ENSG00000234318	0	0	0	0	0	0
ENSG00000284773	2	4	6	8	8	2
ENSG00000234481	0	0	0	0	2	0
ENSG00000117862	339	414	381	544	614	571
ENSG00000162551	30	23	19	19	11	9
ENSG00000235612	0	0	0	0	0	0
ENSG00000228369	0	4	4	2	2	0
ENSG00000183431	13978	14818	15117	15432	17177	17079
ENSG00000227485	0	0	0	0	0	0
ENSG00000224609	6	2	4	8	5	2
ENSG00000235545	11	30	17	30	16	25
ENSG00000236646	0	0	0	0	0	0
ENSG00000169174	705	741	796	54	93	93
ENSG00000232198	0	0	1	0	0	0
ENSG00000231622	0	0	0	0	0	0
ENSG00000238063	0	0	0	0	4	0
ENSG00000235804	0	0	0	0	0	0
ENSG00000227104	0	0	0	0	0	0
ENSG00000243725	31	76	62	65	73	75
ENSG00000116985	29	32	22	17	27	33
ENSG00000171872	4	4	10	0	4	0
ENSG00000162407	16	9	23	18	12	26
ENSG00000285079	0	0	0	0	0	0
ENSG00000169218	0	0	1	2	2	2
ENSG00000163877	1993	1885	2147	2166	2513	2358
ENSG00000228929	209	223	207	179	196	169
ENSG00000224570	2	1	4	3	0	2
ENSG00000224980	0	0	0	0	0	0
ENSG00000185031	4	4	0	0	4	2
ENSG00000278967	0	2	0	4	2	0
ENSG00000157184	276	325	381	406	438	481
ENSG00000272491	0	0	0	0	0	0
ENSG00000198815	2928	3220	3047	3865	4608	4315
ENSG00000134744	677	781	674	1104	1211	1108
ENSG00000162437	383	458	398	218	283	312
ENSG00000233910	0	0	0	0	0	0
ENSG00000287703	0	0	0	0	0	0
ENSG00000283039	0	2	0	2	2	0
ENSG00000229032	0	0	0	0	0	0
ENSG00000229294	2	5	0	2	2	5
ENSG00000184292	3	2	4	7	6	6
ENSG00000187140	0	0	0	0	0	2
ENSG00000226754	0	3	1	13	9	11
ENSG00000232993	0	0	0	0	0	0
ENSG00000234088	0	0	0	0	0	0
ENSG00000236973	0	0	0	0	0	0
ENSG00000227947	0	0	0	0	0	0
ENSG00000277397	0	0	0	0	0	0
ENSG00000271200	0	0	0	2	0	0
ENSG00000235446	0	0	0	0	0	0
ENSG00000261196	0	0	0	0	0	0
ENSG00000224209	0	0	2	0	0	0
ENSG00000237853	6	6	1	5	2	2
ENSG00000162385	4138	4569	4120	4121	4937	4395
ENSG00000231413	0	0	0	0	0	0
ENSG00000234264	2	0	3	9	4	0
ENSG00000242391	0	0	0	0	0	0
ENSG00000223883	0	0	0	0	2	0
ENSG00000284808	0	2	0	0	0	2
ENSG00000242267	0	4	2	0	0	0
ENSG00000237227	0	0	0	0	0	0
ENSG00000275350	0	0	0	0	0	0
ENSG00000116652	10	10	7	10	15	8
ENSG00000203605	0	0	0	0	0	0
ENSG00000123080	3186	3873	3521	2498	3090	2668
ENSG00000285778	1	0	2	0	0	0
ENSG00000077549	2031	2228	2224	2490	2719	2547
ENSG00000233407	0	0	0	0	0	0
ENSG00000225675	0	2	0	0	2	0
ENSG00000237622	0	0	0	0	0	0
ENSG00000162598	0	0	0	1	0	5
ENSG00000280317	0	0	0	0	0	0
ENSG00000162415	25	36	49	46	73	77
ENSG00000162600	227	272	257	194	271	233
ENSG00000116704	136	176	153	127	171	166
ENSG00000261213	0	2	0	0	0	0
ENSG00000227644	0	0	0	0	0	0
ENSG00000157193	561	616	595	767	996	932
ENSG00000116205	903	968	883	815	949	826
ENSG00000198841	34	42	73	33	66	47
ENSG00000116212	304	326	286	387	476	411
ENSG00000234204	0	0	0	1	0	0
ENSG00000224127	0	0	0	0	0	0
ENSG00000233099	0	0	0	0	0	0
ENSG00000233994	7	5	8	5	4	7
ENSG00000237180	0	0	0	0	0	0
ENSG00000213561	0	0	0	0	0	0
ENSG00000234496	0	0	0	0	0	0
ENSG00000233973	0	0	0	0	0	0
ENSG00000237552	0	0	0	0	0	0
ENSG00000132854	4	0	0	0	0	2
ENSG00000227556	0	0	0	0	0	0
ENSG00000162616	1094	978	1074	910	1034	1128
ENSG00000271355	0	0	0	2	0	0
ENSG00000162607	7404	8209	7581	7045	8732	7496
ENSG00000233602	4	2	1	14	7	3
ENSG00000233271	0	0	0	0	0	0
ENSG00000285954	0	0	0	1	0	0
ENSG00000233333	0	0	0	0	0	0
ENSG00000154027	2	2	1	4	2	2
ENSG00000234108	0	0	0	0	0	0
ENSG00000232676	4	0	2	5	1	1
ENSG00000225167	0	0	0	0	0	0
ENSG00000132122	2	0	2	4	8	6
ENSG00000213579	0	0	0	0	0	0
ENSG00000137960	2	4	4	6	5	6
ENSG00000237852	3	7	4	0	7	2
ENSG00000116745	2	0	0	4	4	0
