"Gene"	"hs_proerythroblast_1"	"hs_proerythroblast_2"	"hs_proerythroblast_3"	"hs_early_basophilic_1"	"hs_early_basophilic_2"	"hs_early_basophilic_3"	"hs_late_basophilic_1"	"hs_late_basophilic_2"	"hs_late_basophilic_3"	"hs_polychromatic_1"	"hs_polychromatic_2"	"hs_polychromatic_3"	"hs_orthochromatic_1"	"hs_orthochromatic_2"	"hs_orthochromatic_3"
"1763"	"FLJ33630"	318	109	73	452	112	85	284	91	73	66	48	9	10	3	6
"1764"	"AVEN"	2179	327	321	2095	232	316	1102	212	229	193	39	53	38	7	17
"1765"	"ALG5"	3462	563	589	3681	585	584	1980	455	494	586	104	90	90	20	11
"1766"	"SLC38A1"	27373	2351	4352	24578	2665	3473	12697	1804	1996	3102	204	464	418	19	33
"1767"	"METAP2"	76063	15958	17787	91189	17426	18780	65249	16857	17557	21617	4795	5816	3232	594	768
"1768"	"NUDCD1"	6667	1026	1320	6762	1093	1208	3380	850	877	732	138	179	212	25	44
"1769"	"HAUS7"	4620	386	702	5076	561	858	3573	553	733	696	104	142	60	10	18
"1770"	"SIKE1"	10070	1812	2339	10459	2133	2327	6289	1865	1726	1801	350	356	407	70	72
"1771"	"RRM1"	58967	8436	9702	81924	11657	10637	72288	13473	12350	35066	6659	6645	738	405	525
"1772"	"ZNF229"	1726	236	351	1286	239	287	645	167	163	327	37	63	43	11	7
"1773"	"MT1X"	162	37	23	151	31	32	63	18	22	9	3	4	6	1	0
"1774"	"CSPG5"	347	39	43	279	39	54	227	30	46	11	1	2	2	1	2
"1775"	"ZNF92"	2647	610	781	2546	694	717	2057	681	795	862	266	152	108	48	62
"1776"	"LOC257396"	292	27	46	282	19	25	146	17	11	5	0	0	0	1	0
"1777"	"SPAG16"	1051	268	243	1064	265	262	803	321	202	328	105	61	48	13	13
"1778"	"FAM76A"	1496	265	348	1898	341	361	1432	352	303	339	87	84	48	15	12
"1779"	"SPRY1"	449	53	115	318	38	62	62	12	11	2	0	1	12	2	2
"1780"	"LOC730227"	0	0	0	4	1	0	20	1	1	69	15	24	75	11	19
"1781"	"PARP3"	578	77	90	436	66	66	202	55	34	38	6	5	16	0	0
"1782"	"GALNT1"	11310	1860	1798	10666	1859	1800	7336	1555	1354	2044	589	454	234	81	109
"1783"	"COG6"	3711	625	783	3073	588	676	1708	449	465	372	86	94	143	29	21
"1784"	"SLC25A13"	12847	1829	1936	12033	1944	1869	6034	1306	1277	1187	201	166	292	41	54
"1785"	"ZNF587B"	1973	271	234	1634	269	262	769	192	157	139	45	33	32	15	11
"1786"	"WDYHV1"	1400	156	298	1390	141	264	792	120	206	146	14	24	28	0	4
"1787"	"TCOF1"	29693	2695	4616	26711	3286	4364	13497	2221	2639	1813	309	457	645	43	58
"1788"	"DDX12P"	1521	177	458	2478	423	711	2206	525	603	1091	351	407	22	24	31
"1789"	"SLC9A3R2"	327	19	77	139	16	69	26	4	12	0	0	1	4	0	2
"1790"	"PDGFA"	173	44	46	283	80	78	297	70	93	14	2	3	7	2	2
"1791"	"LCAT"	2045	137	342	2622	270	494	1842	281	386	295	53	74	28	3	6
"1792"	"ZWINT"	24357	3206	4365	36582	4892	5004	36378	6559	6125	12294	2607	2823	332	171	220
"1793"	"CRISPLD1"	227	11	35	50	5	7	33	1	2	0	0	0	0	0	0
"1794"	"C22orf46"	3733	359	371	3546	452	342	2216	376	231	397	62	62	28	9	12
"1795"	"SCRN3"	3311	691	752	3959	781	710	2801	771	705	831	210	209	138	35	22
"1796"	"KIAA0664L3"	763	68	141	743	104	133	571	162	145	247	43	52	13	3	3
"1797"	"TBCEL"	3725	444	522	3506	552	399	3595	557	495	23791	6721	10299	81809	19384	24954
"1798"	"PTPRS"	40	24	25	22	14	12	3	5	2	2	0	0	8	0	0
"1799"	"EIF3E"	47265	8502	10414	43509	8161	8653	25036	6720	6122	8765	1403	1465	1595	279	366
"1800"	"ALKBH3"	3729	607	668	4128	681	580	2687	587	453	682	111	88	79	14	24
"1801"	"ACACA"	39772	4191	6021	37268	5031	5550	19873	4032	3797	1850	235	270	908	56	59
"1802"	"NEGR1"	0	0	0	2	1	0	2	0	0	0	0	0	21	5	5
"1803"	"ZNF600"	1211	112	154	918	114	138	449	65	103	18	2	6	25	0	1
"1804"	"ANGEL2"	4379	723	833	4823	998	934	3844	1102	929	1194	292	318	146	25	43
"1805"	"ANKRD39"	1912	215	324	1924	274	342	1216	198	276	268	35	67	44	6	1
"1806"	"ACOT9"	5729	617	853	5449	535	711	3431	424	483	935	103	116	77	11	13
"1807"	"SCP2"	7248	1794	1601	7822	1849	1666	5394	1657	1467	987	310	287	349	95	95
"1808"	"MYO19"	22310	2331	4755	26666	3487	5122	18057	3385	3957	4954	1009	1184	482	104	131
"1809"	"FOXI1"	0	0	0	0	0	0	0	0	0	8	0	0	42	7	9
"1810"	"WASF1"	9275	1662	1645	10196	1874	1594	8682	1722	1393	1807	371	263	160	70	97
"1811"	"SYNCRIP"	47805	8372	9000	44115	8280	8399	23169	5694	5249	5875	1336	1364	1895	196	246
"1812"	"IPO5"	91041	12550	14754	91019	14095	13335	53745	12028	10290	14338	2490	2211	2185	311	368
"1813"	"KIAA0146"	5271	697	1158	5381	740	936	3100	653	669	699	153	184	117	31	53
"1814"	"C11orf1"	1751	213	310	1529	191	224	884	149	132	156	20	12	31	5	1
"1815"	"ZNF331"	3784	384	1469	4408	585	1813	3114	647	1334	624	143	263	110	29	36
"1816"	"DDX51"	7391	649	1657	7303	894	1721	3651	781	1061	315	75	88	214	17	24
"1817"	"QSER1"	12320	1385	1627	8564	1304	1324	3656	762	696	799	193	175	274	28	45
"1818"	"LPPR3"	539	33	143	143	9	39	28	5	11	4	1	0	5	1	3
"1819"	"MYO5B"	16	4	2	13	4	2	48	4	12	240	50	157	560	84	128
"1820"	"RPL22"	24138	4065	5491	22643	3895	4660	14373	3351	3699	4041	600	491	816	111	122
"1821"	"C14orf159"	13435	1189	2250	10322	1139	1686	4488	687	862	1395	81	94	202	9	17
"1822"	"FAM86DP"	540	109	122	465	76	142	217	53	42	28	1	1	13	1	2
"1823"	"URB1"	22003	2180	4350	19252	2918	4123	7624	1765	2012	721	91	95	559	42	65
"1824"	"TMBIM4"	3214	638	693	3486	658	739	2971	748	776	1195	234	257	115	21	36
"1825"	"P4HA1"	2979	582	735	1965	530	522	1011	327	282	249	55	49	125	30	42
"1826"	"F8"	230	30	26	230	42	28	119	38	20	34	10	10	3	1	0
"1827"	"MECR"	5200	555	929	4974	702	1007	2960	591	665	349	23	54	103	10	13
"1828"	"MIR4742"	0	0	2	2	0	0	0	0	1	1	3	5	13	9	18
"1829"	"SH3TC2"	6654	998	732	12352	1868	1160	10898	2173	1386	966	97	53	70	13	18
"1830"	"YEATS2"	10520	978	1741	9511	1022	1418	5009	848	856	690	130	127	150	35	48
"1831"	"ZNF221"	283	32	51	372	56	79	303	83	67	42	13	19	4	0	4
"1832"	"CTNNBIP1"	2108	248	348	1579	208	279	759	137	165	206	24	30	42	6	6
"1833"	"PRRT1"	790	98	258	884	135	288	685	109	211	125	24	24	23	2	7
"1834"	"ZNF117"	665	152	199	683	157	197	427	205	175	397	117	110	33	16	13
"1835"	"IL10RA"	11	1	0	149	2	5	507	17	24	2492	218	212	5391	268	345
"1836"	"C7orf31"	371	35	57	368	32	36	227	38	47	18	5	3	3	0	2
"1837"	"SLC18A2"	3257	1090	888	3045	1005	879	1812	755	655	569	363	144	199	81	102
"1838"	"PELP1"	23480	1927	3370	22309	2433	3552	12668	1934	2308	1514	190	228	374	40	41
"1839"	"WDR12"	12742	2004	2035	11837	1964	2098	5778	1424	1258	806	151	165	337	57	88
"1840"	"LIG1"	35614	3086	6177	46941	5057	7066	38766	6088	6968	10875	1959	2398	439	156	182
"1841"	"TAF1A"	1069	183	230	902	159	213	428	117	104	96	24	16	48	0	3
"1842"	"C15orf58"	452	47	67	406	42	61	288	49	43	14	0	4	4	0	1
"1843"	"BTN3A2"	1340	316	196	1207	281	140	815	257	98	211	31	14	14	10	9
"1844"	"ENG"	135558	13938	22774	113849	14915	21704	46251	8631	9711	311	65	47	4172	119	119
"1845"	"STK3"	1934	312	538	2128	380	506	1521	386	546	715	208	186	77	15	26
"1846"	"PIGF"	705	167	171	815	167	174	490	159	167	185	47	54	32	5	13
"1847"	"TUBAL3"	404	66	102	239	36	72	103	29	34	11	1	1	20	0	0
"1848"	"ZNF83"	3796	711	974	4894	926	1050	3341	875	954	1346	228	316	168	25	29
"1849"	"MARC1"	130	38	19	71	25	7	25	14	6	6	0	0	3	0	0
"1850"	"RIF1"	55765	8576	9140	56336	11428	9041	33538	10008	6953	12121	2446	2396	1710	227	310
"1851"	"ZNF660"	111	5	11	32	7	6	11	4	7	0	0	0	0	0	0
"1852"	"SNX10"	268	76	91	245	70	51	144	53	30	18	9	2	19	1	1
"1853"	"PARN"	7750	950	1315	8045	1006	1258	4300	855	973	939	230	204	191	27	37
"1854"	"ACD"	6720	552	1107	6879	679	1145	4477	654	899	676	85	150	115	12	14
"1855"	"IQCH"	115	18	35	99	17	23	97	23	17	6	3	6	4	1	0
"1856"	"MIR29B2"	0	0	0	0	0	0	0	0	0	1	0	0	26	5	3
"1857"	"WHAMMP3"	197	45	49	317	65	86	216	90	91	98	32	18	5	2	6
"1858"	"CCDC88C"	5861	580	1209	5810	709	1090	3621	556	638	229	156	68	126	27	34
"1859"	"ZNF670"	1479	197	355	1440	244	329	899	210	248	592	89	118	53	6	5
"1860"	"PEMT"	1975	176	321	1401	194	261	559	112	103	50	3	3	26	3	5
"1861"	"MKI67IP"	5347	937	1024	5395	838	1068	2513	586	611	379	87	68	178	37	29
"1862"	"RABEPK"	3105	394	542	2201	255	385	697	160	143	90	7	13	83	4	4
"1863"	"KIF20B"	17946	3690	4305	26404	5125	4484	26771	6605	5533	10717	2812	3070	431	279	359
"1864"	"GXYLT1"	7133	1174	1719	7666	1512	1631	4996	1307	1240	2107	456	382	235	48	85
"1865"	"GGTA1P"	0	0	0	0	0	0	0	0	0	0	0	0	5	2	10
"1866"	"ZNF761"	2781	389	608	3245	458	581	1805	423	478	493	113	126	78	18	24
"1867"	"HEATR3"	4900	648	890	4911	658	834	2245	445	507	119	22	28	152	15	15
"1868"	"TUFT1"	371	21	75	698	42	67	1209	54	105	15855	2055	4000	26161	3896	5235
"1869"	"FANCC"	4971	554	776	6031	737	856	4730	839	869	1486	330	302	80	25	25
"1870"	"FBXO4"	1612	299	258	1968	357	315	1424	374	297	201	46	37	45	11	10
"1871"	"C22orf29"	8416	696	1086	7674	840	1172	4720	661	802	1504	173	193	116	16	12
"1872"	"MRPL11"	10336	1174	1611	10090	1464	1719	6196	1162	1194	1101	143	198	249	23	24
"1873"	"IQCK"	250	26	58	240	21	56	81	20	15	3	0	1	5	1	0
"1874"	"CISD1"	2468	390	451	2209	316	392	880	187	217	77	6	9	46	12	16
"1875"	"VIL1"	0	5	12	6	2	4	3	4	2	26	19	28	181	41	43
"1876"	"GNB1L"	1356	123	228	1206	139	231	663	125	144	259	14	36	15	3	4
"1877"	"NMNAT3"	19485	3057	3224	20573	3529	3492	13303	3122	2875	526	139	113	519	117	162
"1878"	"MRI1"	7385	515	1692	6033	532	1581	2502	351	729	108	14	43	184	4	7
"1879"	"CCDC34"	5693	1229	1465	7236	1438	1405	6892	1746	1599	2162	500	574	202	77	92
"1880"	"CDKN2D"	286	33	48	1739	82	124	4880	381	540	9795	2127	3215	6417	2892	4109
"1881"	"LYSMD1"	800	151	187	741	189	184	643	188	156	250	42	65	34	6	7
"1882"	"NOP14"	27886	3207	4372	26725	3626	4262	13606	2498	2395	959	184	167	637	83	89
"1883"	"NOD1"	2774	182	412	1865	183	346	731	97	205	76	13	26	31	8	10
"1884"	"SRSF2"	62606	8759	14605	75844	13385	17700	49630	13569	15154	13544	3438	5023	1956	610	857
"1885"	"HAUS3"	8862	2142	2828	10085	2487	2804	6049	1990	2060	2726	725	732	444	202	212
"1886"	"LOC550112"	918	88	132	736	104	111	325	52	40	30	2	2	9	1	3
"1887"	"TELO2"	14498	1214	2281	12409	1440	2314	6307	1223	1440	2144	362	500	241	39	69
"1888"	"IFT172"	6669	812	1155	6807	1061	1146	4042	941	797	432	63	94	139	31	42
"1889"	"TBC1D1"	5299	873	619	5399	908	548	3338	886	508	478	118	63	92	20	26
"1890"	"ZNF280C"	732	130	176	532	76	126	221	55	42	84	17	14	25	4	5
"1891"	"CCDC6"	14387	2639	2672	12339	2556	2412	6445	1888	1524	1250	284	226	633	49	72
"1892"	"DLG3"	230	27	34	199	23	14	99	13	21	4	4	3	4	0	0
"1893"	"SUSD1"	5109	579	758	4996	731	682	2388	535	454	210	33	48	136	6	12
"1894"	"TMEM102"	648	59	116	407	47	81	164	26	28	25	4	8	13	2	0
"1895"	"SHISA3"	13	4	5	14	4	17	21	10	14	0	0	0	0	0	0
"1896"	"IPO7"	39950	6346	8204	43068	7312	9007	23795	5863	6731	6943	1070	1228	1504	151	206
"1897"	"MAP4K1"	635	24	69	329	37	51	78	9	27	3	0	1	4	1	0
"1898"	"FHL3"	4607	418	699	3475	307	507	1650	152	243	129	12	20	77	4	4
"1899"	"SLC15A4"	2337	243	466	2196	284	456	1322	239	314	245	33	30	60	2	6
"1900"	"MFGE8"	5270	210	923	3125	208	578	1265	179	251	128	14	23	54	1	7
"1901"	"MTCP1NB"	539	76	101	440	77	62	305	51	72	86	14	17	10	1	5
"1902"	"CCDC78"	288	21	56	183	12	54	69	7	11	9	5	4	4	0	0
"1903"	"FRAT2"	10237	1843	2731	7731	1394	2080	3023	690	851	666	171	126	526	58	64
"1904"	"ZNF204P"	80	5	30	41	3	25	18	4	3	0	0	0	0	0	0
"1905"	"C1QTNF9B-AS1"	113	11	23	58	4	3	18	1	4	0	0	0	0	0	0
"1906"	"SPATA5"	4365	827	803	5396	1162	1030	4613	1168	1002	1371	338	288	131	40	50
"1907"	"ACSL6"	87	2	3	2601	33	49	9224	340	710	14856	2572	6701	5689	1350	1771
"1908"	"FAM19A2"	1664	208	432	732	114	201	190	40	33	118	13	18	44	9	7
"1909"	"HACE1"	2064	339	566	2637	482	543	2643	544	638	1465	369	468	64	19	35
"1910"	"SRM"	17804	1639	2477	16047	1702	2599	6623	1065	1228	329	35	38	329	13	31
"1911"	"DPF1"	158	9	29	124	10	8	51	9	15	3	1	0	0	0	0
"1912"	"THUMPD3"	8513	1299	1560	9702	1645	1533	6486	1436	1330	1974	349	393	242	53	41
"1913"	"DONSON"	8947	1243	1772	13585	1781	2186	11575	2055	2434	5947	1179	1383	149	77	94
"1914"	"PDCL2"	34	8	7	9	13	2	2	6	0	0	0	0	0	0	0
"1915"	"XRCC3"	18342	1475	2940	21685	2286	3118	15782	2573	2633	3606	554	643	218	55	86
"1916"	"PLAGL1"	6355	693	801	5714	766	626	3072	658	480	376	34	17	80	7	13
"1917"	"TRIT1"	6142	786	1084	5598	802	1016	2415	575	627	263	37	47	131	36	40
"1918"	"ZNF121"	2794	246	557	2706	332	701	1160	276	489	183	41	56	59	17	18
"1919"	"MIR4712"	20	8	13	17	4	5	4	5	5	2	0	0	1	0	1
"1920"	"METTL18"	1012	231	257	1253	285	276	1075	284	249	433	96	89	42	7	17
"1921"	"LOC100130950"	81	7	19	101	12	18	35	13	20	11	1	1	0	0	0
"1922"	"COX11"	5294	1026	1144	4972	1024	1089	3025	927	774	884	224	210	204	55	70
"1923"	"ZNF823"	797	77	132	412	61	75	165	42	41	32	5	9	17	2	4
"1924"	"NDRG3"	3166	391	572	2423	230	386	1333	175	232	104	20	4	50	1	9
"1925"	"STAMBPL1"	104	8	20	50	3	6	6	1	0	0	0	0	0	0	0
"1926"	"TPRKB"	3338	741	628	4134	836	722	3603	815	676	1983	351	358	79	30	49
"1927"	"TRMT61B"	2826	366	655	3009	437	595	1744	362	428	314	41	69	92	8	13
"1928"	"ZNF320"	3302	711	797	3742	884	810	2260	783	621	764	136	120	154	28	30
"1929"	"METTL16"	14065	1657	2527	13577	1979	2553	6536	1430	1585	1029	163	181	440	28	42
"1930"	"EID3"	541	129	155	731	113	160	596	144	183	257	55	59	25	2	8
"1931"	"ABCD3"	7820	1134	1130	8950	1385	1156	6411	1422	1236	2303	520	543	132	50	75
"1932"	"CHRNA2"	0	0	0	0	0	0	0	0	0	2	1	2	36	3	5
"1933"	"IER3IP1"	5436	1091	1148	5937	1221	1230	4824	1193	1235	1327	278	333	266	29	37
"1934"	"ZNF788"	5505	720	724	6627	1029	946	5397	1089	922	1291	218	247	108	27	19
"1935"	"BCL2L1"	7942	730	1630	27396	1596	2693	69721	4245	7177	314992	45580	72244	464905	71067	103609
"1936"	"SGIP1"	32	4	14	50	4	9	105	9	18	861	133	368	1017	286	343
"1937"	"PARVA"	0	0	0	0	0	0	0	0	0	0	0	0	2	5	6
"1938"	"CCDC61"	1908	217	400	1533	260	454	1244	241	340	354	53	91	54	7	12
"1939"	"FAM48A"	12263	2229	2784	13483	2630	2549	8728	2290	2084	3465	647	640	530	59	85
"1940"	"SLC16A13"	694	61	103	582	51	108	405	56	68	53	4	4	8	0	1
"1941"	"ROPN1L"	0	0	0	2	0	0	0	0	0	4	0	3	27	6	6
"1942"	"TSSC1"	5839	797	1027	5843	714	900	3887	743	736	1083	157	185	121	26	33
"1943"	"DDX18"	21002	3442	3952	22832	4044	3978	12631	3275	2910	2229	544	407	790	89	124
"1944"	"ADK"	7790	1234	1294	7877	1157	1258	4426	1031	982	658	161	124	254	36	33
"1945"	"ZFP30"	843	79	121	534	73	119	347	70	89	117	6	27	12	1	2
"1946"	"MTUS2"	210	20	80	218	18	70	44	4	17	5	2	3	6	0	0
"1947"	"BTN3A3"	282	33	41	140	25	32	77	7	5	15	1	0	2	0	0
"1948"	"ZNF813"	1500	192	211	1435	216	261	1007	240	222	190	31	37	36	5	6
"1949"	"ITM2A"	2072	346	314	2333	385	273	2052	366	335	402	74	83	41	12	13
"1950"	"LOC643406"	0	0	1	0	0	0	0	0	0	0	2	2	4	9	24
"1951"	"SLAIN1"	4054	591	840	4214	626	773	2752	559	725	466	45	81	116	15	19
"1952"	"CHIC1"	609	122	114	741	185	165	641	199	207	191	57	48	22	8	8
"1953"	"C17orf104"	126	33	25	80	19	25	16	10	8	9	7	4	11	0	0
"1954"	"ZFP62"	4238	674	919	4771	815	880	4202	930	923	2186	401	468	147	29	24
"1955"	"FAM54A"	3383	595	743	4731	789	954	4107	896	950	1349	299	314	58	54	61
"1956"	"ANAPC10"	1570	356	354	1564	331	365	1125	327	347	373	89	64	79	13	14
"1957"	"HOXA4"	108	16	19	86	12	25	58	2	10	4	0	0	0	0	0
"1958"	"NECAB2"	0	0	0	0	0	0	0	0	0	0	0	0	14	3	3
"1959"	"CRYL1"	1676	100	347	1627	115	307	948	99	237	58	7	39	30	0	1
"1960"	"COX5A"	17156	2180	3012	16958	2438	2951	9205	1892	2072	2171	266	384	426	60	80
"1961"	"TIGD4"	79	18	17	89	24	15	60	19	19	1	1	0	2	2	0
"1962"	"MZT1"	4089	2006	1627	7061	2330	2089	9867	3348	3352	6187	2594	2617	255	221	312
"1963"	"EHD4"	1469	121	186	1346	171	160	528	103	87	57	8	8	20	4	2
"1964"	"MRS2"	8682	1155	1682	7918	1277	1445	3816	891	1101	765	134	188	249	40	73
"1965"	"ZNF449"	443	126	138	632	155	134	470	123	102	175	39	53	27	6	5
"1966"	"BRIP1"	6788	739	938	7869	1075	1027	6041	1221	1181	3158	814	821	77	48	62
"1967"	"ZNF625"	162	23	10	109	7	23	52	10	6	0	1	3	0	0	0
"1968"	"EEA1"	4471	775	950	3729	802	865	1802	557	604	860	231	217	249	23	24
"1969"	"EXOSC7"	6938	1053	1402	7243	1067	1469	4229	800	1026	649	111	98	242	18	33
"1970"	"CHRAC1"	7524	1335	1741	8794	1641	1955	7208	1562	1799	2799	614	688	334	46	61
"1971"	"HOXA9"	277	13	56	161	7	31	34	8	7	7	1	0	1	0	0
"1972"	"GTF2F2"	5791	1160	1422	6207	1293	1513	4265	1226	1272	1460	287	292	274	49	64
"1973"	"ISOC1"	10380	1580	2283	9960	1455	2082	5536	1104	1431	1393	197	252	340	52	61
"1974"	"PRKAR2B"	39948	9606	10133	44772	10540	9780	36022	10479	9030	14436	4160	4122	1846	672	758
"1975"	"MLC1"	15917	1060	1936	8994	705	1122	1952	242	212	79	5	4	185	5	10
"1976"	"C10orf2"	11414	998	1609	10098	1068	1368	4155	634	560	206	39	39	234	17	16
"1977"	"CSTF2T"	12775	1789	2411	12651	2255	2438	10259	2320	2245	5716	811	1122	347	69	89
"1978"	"SLC44A4"	57	8	19	12	2	5	7	0	0	0	0	0	1	0	0
"1979"	"UBE2H"	6842	737	1130	8146	816	992	13170	1196	1146	102570	19441	30899	197436	46114	61318
"1980"	"RTEL1"	637	70	125	736	72	149	562	85	141	131	28	31	14	1	3
"1981"	"MRPL39"	6557	829	885	6688	893	860	4390	856	815	1398	219	192	144	13	21
"1982"	"ARMC2"	367	28	43	356	31	49	146	38	30	1	2	2	3	2	1
"1983"	"DNA2"	7662	852	1545	10186	1331	1891	9381	1619	2202	4881	968	1245	148	60	55
"1984"	"TTC32"	824	428	617	1001	461	585	829	467	622	449	254	297	154	71	79
"1985"	"CNKSR2"	264	19	19	164	12	8	52	13	5	1	0	3	0	0	0
"1986"	"RPL23AP82"	250	48	65	311	32	41	145	27	27	34	4	3	8	0	0
"1987"	"NOM1"	13373	1747	2261	14546	2211	2627	8014	1912	1828	1524	280	340	417	42	66
"1988"	"LOC100506023"	47	7	14	85	12	19	95	14	13	5	2	3	0	0	0
"1989"	"TRNT1"	3264	456	599	2643	520	647	1272	403	452	219	54	75	157	11	16
"1990"	"HS6ST1"	1863	100	323	1008	102	217	380	56	84	124	14	29	25	4	2
"1991"	"PDGFC"	3027	365	533	2692	352	489	1308	247	315	95	6	20	71	6	9
"1992"	"LOC100507629"	0	0	1	0	0	0	0	0	0	0	0	0	14	3	7
"1993"	"TRIM45"	1249	132	264	1520	208	316	1480	233	300	343	103	120	29	8	8
"1994"	"SRPRB"	10421	1337	1626	10445	1517	1631	4987	1051	1087	285	49	68	347	21	26
"1995"	"BFSP1"	171	24	18	182	31	24	49	12	5	12	2	9	0	2	0
"1996"	"KIAA1456"	85	10	17	39	3	17	9	12	8	0	1	0	2	0	0
"1997"	"CRTAP"	16197	1740	2488	12616	1580	2099	7551	1159	1265	984	152	143	378	34	35
"1998"	"NONO"	44339	5490	8702	42580	5770	8186	28334	5012	6179	10386	1518	1938	1130	179	246
"1999"	"LUZP1"	8861	666	1230	6816	727	998	2690	493	537	333	60	45	132	18	27
"2000"	"PAQR8"	4202	299	411	1146	109	124	251	50	26	281	10	21	33	4	2
"2001"	"RECQL4"	29041	2031	5883	36215	3705	7263	26057	4082	5666	8306	1528	2205	399	123	164
"2002"	"RPUSD2"	5450	478	740	5102	573	698	2737	417	459	289	52	48	93	10	15
"2003"	"ERRFI1"	19	0	1	8	1	1	8	3	3	213	63	49	727	55	73
"2004"	"RIMS3"	6167	522	643	7896	753	709	6846	913	852	436	118	53	63	10	16
"2005"	"ZNF829"	1555	206	255	1671	265	271	1245	259	325	624	55	61	31	2	8
"2006"	"LPP"	945	212	125	378	120	66	170	55	17	9	2	1	34	1	4
"2007"	"C11orf31"	13438	1815	2501	11414	1736	2250	5498	1243	1297	1016	170	175	473	38	50
"2008"	"NOTUM"	132	14	44	121	9	28	49	9	9	5	3	1	3	0	0
"2009"	"NGFRAP1"	3904	295	503	1904	180	303	696	98	117	35	2	2	49	3	6
"2010"	"RSAD1"	4498	557	779	3634	543	618	1225	288	192	46	2	8	111	7	10
"2011"	"PDIA5"	2231	254	467	1630	193	368	541	87	115	32	1	1	47	4	2
"2012"	"NFS1"	7959	1037	1424	7250	1078	1311	4561	974	952	1163	162	236	212	33	42
"2013"	"AHCY"	56107	5962	9384	41593	5517	7186	18086	3313	3496	1241	170	236	1365	152	183
"2014"	"IFFO1"	2944	281	738	3071	426	801	2368	493	677	349	61	117	79	14	21
"2015"	"ARL9"	278	83	97	483	106	112	511	132	154	42	5	10	17	3	3
"2016"	"ARHGEF9"	2607	252	313	2242	281	275	1605	236	215	165	18	20	33	2	9
"2017"	"PTGR1"	4160	796	1118	3234	573	671	1046	252	165	17	5	4	174	41	51
"2018"	"RG9MTD1"	9380	1523	1854	7840	1451	1598	3416	948	965	1065	146	255	358	42	68
"2019"	"PPIL3"	4887	925	701	5758	995	664	4694	1059	639	1583	298	166	105	20	26
"2020"	"LDOC1L"	4036	265	626	2209	232	416	754	126	170	154	22	80	98	1	3
"2021"	"IMPDH2"	66251	10534	13776	56721	9295	11737	29788	6253	7163	5764	637	846	2408	222	277
"2022"	"ECI2"	28106	3708	4570	26183	3494	4035	16829	2868	2968	2063	381	386	796	91	85
"2023"	"LACTB2"	1462	361	392	1744	401	392	1625	413	396	381	103	114	88	17	18
"2024"	"KIAA0391"	8669	1084	1436	8340	1165	1322	5008	933	1000	1170	189	232	191	39	51
"2025"	"ZNF630"	71	8	30	47	4	11	17	0	3	0	0	0	0	0	0
"2026"	"RWDD4"	932	155	201	945	213	212	639	167	176	142	46	46	40	8	11
"2027"	"ANP32A"	32996	5153	6066	33489	5565	6648	21607	4748	5150	6283	943	1211	1162	129	180
"2028"	"ASL"	2864	406	425	2761	477	431	2000	445	372	637	89	128	70	11	15
"2029"	"POFUT1"	23821	2940	3978	24624	3436	3693	14502	2634	2639	5361	609	762	533	60	102
"2030"	"METTL15"	1773	308	369	1605	302	408	922	269	327	375	67	101	73	14	18
"2031"	"IKBKAP"	18602	2265	2957	20220	2980	3135	13232	2813	2467	2224	318	353	326	102	122
"2032"	"ZNF391"	116	4	51	80	8	32	27	8	8	3	0	0	0	0	0
"2033"	"NOLC1"	73682	8621	12843	66136	8785	11686	27420	5221	5709	3589	519	650	2116	175	243
"2034"	"FBXO21"	6070	693	924	6549	810	902	4129	704	755	1042	208	195	156	14	16
"2035"	"STK39"	1057	130	85	713	108	64	312	58	13	29	1	2	6	1	1
"2036"	"UBE3D"	1107	117	185	980	139	174	456	78	121	71	11	10	11	8	10
"2037"	"MIR144"	6	1	0	9	0	0	28	3	7	155	29	58	586	45	52
"2038"	"SPATA20"	627	71	49	462	84	28	218	59	7	2	0	1	4	0	1
"2039"	"LETMD1"	7383	1273	1860	7706	1157	1772	6245	1199	1357	2488	304	365	281	31	43
"2040"	"DNAJC10"	9139	1200	1483	8152	1315	1326	3936	945	863	466	87	98	334	21	24
"2041"	"PRSS57"	4149	176	247	1288	74	127	520	29	48	2	0	0	32	0	1
"2042"	"ZDHHC6"	8758	1367	1807	8852	1482	1721	5446	1296	1318	2566	426	463	296	47	67
"2043"	"SYNC"	1	0	0	3	0	0	0	0	0	19	1	5	57	13	10
"2044"	"SMAD5"	6977	1073	1375	5592	1172	1247	2739	869	980	372	69	142	326	41	46
"2045"	"PTGER2"	108	21	19	46	3	8	30	1	5	1	0	0	0	0	1
"2046"	"ATAD3C"	189	64	11	122	55	5	42	21	1	0	0	0	0	0	0
"2047"	"GPATCH1"	4397	499	854	4401	694	849	3106	605	712	1125	196	249	98	35	26
"2048"	"LIAS"	2082	415	557	2144	455	501	1348	384	322	409	61	60	110	12	11
"2049"	"SLC12A4"	18443	1579	3433	22591	2352	3925	19868	2422	3389	3719	421	571	302	43	62
"2050"	"POLD1"	56863	4861	12135	61385	7032	13227	44016	7163	10233	15640	1860	2885	1082	202	259
"2051"	"C20orf96"	1354	185	311	1138	220	296	529	164	143	62	6	9	73	0	0
"2052"	"NUP54"	17627	2627	3165	17945	2742	3288	10611	2248	2584	3904	609	740	572	77	92
"2053"	"ASRGL1"	494	59	79	628	93	102	641	120	101	191	41	46	11	1	2
