ID	entrezID
SLC16A9	220963
KIAA1671	85379
ACSBG1	23205
CTSE	1510
EPCAM	4072
UCA1	652995
ZNF492	57615
B3GALNT1	8706
MYB	4602
ARHGAP22	58504
ZNF519	162655
METRNL	284207
PYGO1	26108
PARP15	165631
SFXN4	119559
MOB3B	79817
NMU	10874
DYNC2LI1	51626
SYNGR1	9145
ACN9	NA
CXorf69	NA
TSPAN6	7105
PCSK9	255738
NIPSNAP3B	55335
SMYD3	64754
FAM198B	NA
KRT13	3860
USP46	64854
PCBD1	5092
EBPL	84650
POLI	11201
TARBP1	6894
SNHG5	387066
FAM178B	51252
ZNF506	440515
VWDE	221806
TTC13	79573
ADAT2	134637
DHRS3	9249
BDH1	622
SEMA4C	54910
GOLGA8A	23015
MNS1	55329
LOC647946	NA
FAM161A	84140
RIN3	79890
PEX11A	8800
CPVL	54504
HOXA1	3198
MTL5	NA
COCH	1690
FZD1	8321
MINA	NA
MAP7	9053
ZDHHC21	340481
APBB1IP	54518
ZNF618	114991
C4orf43	NA
BIVM	54841
APOC1	341
ZNF354B	117608
EPHB4	2050
ZNF280B	140883
TMEM117	84216
B3GNT1	NA
CHSY3	337876
LOC728819	NA
ZNF680	340252
PRKCH	5583
PRKAR1B	5575
SCCPDH	51097
OSBPL5	114879
GAS6	2621
SKP2	6502
CRYZ	1429
MANEA	79694
ZNF642	NA
ZNF74	7625
ANAPC4	29945
SLC25A43	203427
FAM129B	NA
SLC19A1	6573
FLJ44511	NA
TET1	80312
ALDH1A1	216
C8orf55	NA
NANP	140838
OSGEPL1	64172
CCDC169	728591
CMAHP	8418
NT5DC1	221294
PMS1	5378
NFKB1	4790
ACPL2	NA
LOC100499484	NA
PON2	5445
SPIN2B	474343
C9orf123	NA
HPGD	3248
TIPIN	54962
UBE2Q2	92912
DPY19L2	283417
ZFYVE9	9372
ZNF512B	57473
PHKA1	5255
STOX1	219736
ACCS	84680
TNFRSF21	27242
SLC27A2	11001
C6orf108	NA
CCNE1	898
RANBP17	64901
SUCLG2	8801
EXTL2	2135
GLMN	11146
RCN3	57333
ICA1	3382
FAM124B	79843
NUBPL	80224
GGCT	79017
NUP62CL	54830
ZNHIT6	54680
AIG1	51390
SLFN11	91607
DENND5B	160518
PPARGC1B	133522
LOC100131289	100131289
PFAS	5198
ZNF30	90075
ME3	10873
NTHL1	4913
FAM102B	NA
NEFH	4744
RPGRIP1L	23322
RPS6KL1	83694
LPIN3	64900
ZNF205	7755
S100A4	6275
NREP	9315
CAND2	23066
DNAH14	127602
TCTN2	79867
CCDC112	153733
B3GNT7	93010
PVR	5817
MCCC2	64087
SLC35G1	159371
POLE2	5427
NUDT12	83594
ARMC9	80210
CENPH	64946
GLRX	2745
TMEM182	130827
MPDZ	8777
ZNF681	148213
FAIM	55179
LDHB	3945
MTAP	4507
ZNF658	26149
HMGN5	79366
HMGA2	8091
TRMT11	60487
IDUA	3425
PKLR	5313
MSH2	4436
DPH5	51611
SLC25A15	10166
ENTPD1	953
SLCO4C1	353189
PNPT1	87178
MPHOSPH6	10200
TSEN2	80746
C12orf45	NA
C20orf194	NA
ZNF287	57336
KDELC1	NA
HADH	3033
BMP2	650
PUS7L	83448
SLC46A3	283537
MAP7D3	79649
FANCF	2188
GINS1	9837
RNLS	55328
PPA2	27068
ALKBH2	121642
ZNF362	149076
NIPSNAP1	8508
SLC25A12	8604
VILL	50853
APOL4	80832
ALDH18A1	5832
FANCL	55120
METAP1D	254042
C9orf30	NA
TYW3	127253
GPR125	NA
THNSL1	79896
CTPS2	56474
SPEF2	79925
DLAT	1737
ARV1	64801
PPP1R9A	55607
DUSP19	142679
SYTL3	94120
PGM2	55276
PCBP4	57060
BOLA3-AS1	NA
HMGN3	9324
REPS2	9185
MAP9	79884
ZNF232	7775
CLYBL	171425
FLVCR1	28982
PCGF6	84108
FADS2	9415
HSD17B12	51144
TMX1	81542
PUS7	54517
ZNF835	90485
GNB4	59345
ZCCHC24	219654
MCM6	4175
CERKL	375298
