"","x"
"IL34",0.600164216790271
"C18orf54",0.448407364595042
"LEFTY2",0.57507149615266
"NECAB1",0.532850061625661
"CENPK",0.488033217232942
"AQP2",0.827494920010055
"CCDC7",0.391791818769529
"SYN3",0.345045672538605
"TRIM69",0.600164216790271
"CCDC108",0.609945686848449
"RAD51AP1",0.560386316509593
"BOC",0.550717023514349
"FBXO43",0.389514483254476
"MIR24-2",0.530356364025815
"ARHGAP19",0.41778125603814
"NEGR1",0.490032107070976
"MZT1",0.830772069525273
"LRRC43",0.451579005968338
"POLQ",0.411357466640384
"ESCO2",0.92701335413356
"GPR21",0.600164216790271
"NEDD1",0.737412538533028
"AKAP4",0.524542768761569
"SPC24",0.791871408629168
"LIF",0.486316310281924
"LOC100128191",0.457557019264273
"C5orf34",0.667997784934121
"CHI3L2",0.606344362425307
"NEIL3",0.837053376360438
"CDCA4",0.799874174695307
"TTK",0.725290853381935
"KIF15",0.926208046784399
"PBK",0.765221604895051
"FBXO5",0.955818503076862
"GPRC5C",0.600164216790271
"IGF2",0.587245894125235
"NOSTRIN",0.538611224507985
"PRC1",0.782268286677487
"SPC25",0.950678968303192
"C4orf46",0.590870968099266
"GSG2",0.767289893858081
"UBE2T",0.738259466949582
"OIP5",0.904364555249677
"AURKB",0.711155432825083
"DNAJC9",0.379430255334863
"NCAPH",0.651503124450787
"CCDC99",0.84169727186759
"TMPO",0.720049515514512
"APLNR",0.395976444346002
"TUBGCP3",0.688596050793853
"CENPW",0.783001978155749
"DEPDC1",0.926846839472867
"KIAA1731",0.527353413279769
"C15orf42",0.549948956818422
"SMC2",0.851967890210081
"C9orf100",0.821605315416732
"ANLN",0.919858822744175
"DEPDC1B",0.916523575736398
"KIAA1524",0.902367633190667
"FAM72A",0.89791225508488
"MELK",0.93073555444428
"ARHGAP11A",0.792532613192406
"CENPI",0.647851311213575
"CXorf57",0.328958375142422
"FAM111A",0.807126472935676
"PKMYT1",0.653988341304264
"FCAMR",0.600164216790271
"NAP1L5",0.447318239982153
"NCAPG",0.962279855653036
"ARHGAP23",0.423707253273074
"TMEM106C",0.529644690252034
"PHF17",0.802597557863299
"PARPBP",0.77490176019097
"HMGN2",0.931017192918727
"HK3",0.693974007938267
"SGOL2",0.903168157121274
"CENPQ",0.686004146393607
"BCL11A",0.960819020641322
"TNFAIP8",0.411170344864671
"BUB1",0.528010710427565
"ZNF471",0.707952749347787
"CCNB1",0.451992204842424
"SKA1",0.796112655395682
"ESPL1",0.914913970585641
"BUB3",0.416759536047502
"CDK1",0.839831004401269
"TOP2A",0.953439294996946
"MPHOSPH9",0.948076094354931
"C5AR1",0.49280352759282
"ABCB1",0.420634292763548
"BIRC5",0.478706622155833
"SFMBT1",0.789515564490856
"SLC4A5",0.856578351916773
"E2F8",0.85285899236035
"PLK2",0.43502212235271
"CCNB2",0.738485863151504
"NUF2",0.868990943687903
"IL8",0.903508036399715
"NFIA",0.943526501992198
"ENPP2",0.439112495056746
"TUBG1",0.492671147751432
"NAA38",0.649837979333006
"CDCA3",0.947066848887438
"COBLL1",0.943099437831265
"SGOL1",0.633324665873991
"LOC100288637",0.90513272706175
"ATAD2",0.624037940031128
