"","x"
"SLC16A9",0.80126057519977
"KIAA1671",0.769460827361346
"ACSBG1",0.912296425340865
"CTSE",0.925529580485153
"EPCAM",0.889655646285826
"UCA1",0.721245221874691
"ZNF492",0.915731628335658
"B3GALNT1",0.911336694296988
"MYB",0.773128196339664
"ARHGAP22",0.725386730764104
"ZNF519",0.922014258269484
"METRNL",0.932860611658593
"PYGO1",0.602386585193455
"PARP15",0.94601321136631
"SFXN4",0.949029039786929
"MOB3B",0.965651542661338
"NMU",0.917513301785591
"DYNC2LI1",0.693347917930162
"SYNGR1",0.952803073531434
"ACN9",0.965298799514135
"CXorf69",0.602891320295819
"TSPAN6",0.683297160412441
"PCSK9",0.702477213701478
"NIPSNAP3B",0.737312169925941
"SMYD3",0.862992335765884
"FAM198B",0.873071406126678
"KRT13",0.950751058577282
"USP46",0.506814536728475
"PCBD1",0.781823812853611
"EBPL",0.5415235189591
"POLI",0.915854322735656
"TARBP1",0.871740684927068
"SNHG5",0.659227310668834
"FAM178B",0.921487186165702
"ZNF506",0.936368400691503
"VWDE",0.658283949046439
"TTC13",0.951863899964095
"ADAT2",0.944962655060088
"DHRS3",0.912438247791632
"BDH1",0.567972991782746
"SEMA4C",0.888926465450627
"GOLGA8A",0.988094080731371
"MNS1",0.970042308821386
"LOC647946",0.916816782026544
"FAM161A",0.962138503260561
"RIN3",0.749746375465592
"PEX11A",0.660219995653402
"CPVL",0.973741961821002
"HOXA1",0.874305805256076
"MTL5",0.502431027328203
"COCH",0.6544894755621
"FZD1",0.957013362304506
"MINA",0.873551368008973
"MAP7",0.857218249287965
"ZDHHC21",0.653449072442024
"APBB1IP",0.779712337986435
"ZNF618",0.922147428956763
"C4orf43",0.891779541558964
"BIVM",0.929625394716165
"APOC1",0.727010383902565
"ZNF354B",0.917609150017075
"EPHB4",0.899008340017908
"ZNF280B",0.682498801652234
"TMEM117",0.847914978708895
"B3GNT1",0.80030804069591
"CHSY3",0.960050305072076
"LOC728819",0.699070831380171
"ZNF680",0.90667164457567
"PRKCH",0.955403120918791
"PRKAR1B",0.897891932168794
"SCCPDH",0.856018851361014
"OSBPL5",0.950111305585642
"GAS6",0.649375661891704
"SKP2",0.776189244990338
"CRYZ",0.747043931657665
"MANEA",0.960295720749321
"ZNF642",0.975826874720834
"ZNF74",0.509461163521363
"ANAPC4",0.980384763638111
"SLC25A43",0.845990853356195
"FAM129B",0.766529107923361
"SLC19A1",0.809962028981451
"FLJ44511",0.856226488559162
"TET1",0.891595708413893
"ALDH1A1",0.58909442791837
"C8orf55",0.641288451422928
"NANP",0.992750691471789
"OSGEPL1",0.96327732102926
"CCDC169",0.531475392879645
"CMAHP",0.863222177166602
"NT5DC1",0.80560725389109
"PMS1",0.842057451388444
"NFKB1",0.752963763381593
"ACPL2",0.665488554118415
"LOC100499484",0.875925204392406
"PON2",0.956995679326909
"SPIN2B",0.688848681316144
"C9orf123",0.791226867289861
"HPGD",0.738151776409937
"TIPIN",0.961777484525529
"UBE2Q2",0.950443117464608
"DPY19L2",0.761452699341373
"ZFYVE9",0.937288178660945
"ZNF512B",0.590211563934424
"PHKA1",0.886703401407864
"STOX1",0.931371901797395
"ACCS",0.872963892917417
"TNFRSF21",0.687394960142842
"SLC27A2",0.558676333123343
"C6orf108",0.889428387875506
"CCNE1",0.873508982465693
"RANBP17",0.980573577977777
"SUCLG2",0.797688748754643
"EXTL2",0.591835655054935
"GLMN",0.808729989092193
"RCN3",0.552196353296448
"ICA1",0.533141519316572
"FAM124B",0.683405524106929
"NUBPL",0.962652505673495
"GGCT",0.937106929975201
"NUP62CL",0.971207004483578
"ZNHIT6",0.887178453802707
"AIG1",0.889673523077966
"SLFN11",0.670155513181325
"DENND5B",0.958666994365363
"PPARGC1B",0.81340056322309
"LOC100131289",0.719902768183855
"PFAS",0.942543160020792
"ZNF30",0.844159712810546
"ME3",0.829539338214645
"NTHL1",0.791912668657242
"FAM102B",0.893370736422408
"NEFH",0.603660586360331
"RPGRIP1L",0.945362789989721
"RPS6KL1",0.91728503890929
"LPIN3",0.958192515220877
"ZNF205",0.970634237232101
"S100A4",0.938926433639354
"NREP",0.721850946172819
"CAND2",0.537356566924777
"DNAH14",0.524181602251779
"TCTN2",0.851520880497219
"CCDC112",0.929892451303223
"B3GNT7",0.619088734989093
"PVR",0.996528758081828
"MCCC2",0.697630753117661
"SLC35G1",0.894501256996816
"POLE2",0.995299925453912
"NUDT12",0.968220153311341
"ARMC9",0.92229473836281
"CENPH",0.930144160765926
"GLRX",0.821665924720441
"TMEM182",0.746735081172705
"MPDZ",0.784975033445587
"ZNF681",0.880880316982174
"FAIM",0.746954331126267
"LDHB",0.758394434146462
"MTAP",0.58077648875013
"ZNF658",0.937536719925494
"HMGN5",0.979137811913887
"HMGA2",0.760346198712691
"TRMT11",0.775984122512059
"IDUA",0.700657510026007
"PKLR",0.957273677908626
"MSH2",0.877739223548334
"DPH5",0.938687516179149
"SLC25A15",0.892843800816817
"ENTPD1",0.980003377595569
"SLCO4C1",0.952001482473079
"PNPT1",0.98763981905453
"MPHOSPH6",0.620783809698016
"TSEN2",0.838635701825493
"C12orf45",0.624836591866001
"C20orf194",0.785584601357156
"ZNF287",0.956705284702396
"KDELC1",0.599578502648914
"HADH",0.724153237406033
"BMP2",0.866987414635361
"PUS7L",0.642234688198646
"SLC46A3",0.96715338412323
"MAP7D3",0.695827399413428
"FANCF",0.944528035315719
"GINS1",0.992572601935376
"RNLS",0.911274233454518
"PPA2",0.975006069597801
"ALKBH2",0.751525553251411
"ZNF362",0.851105326565139
"NIPSNAP1",0.649487009103763
"SLC25A12",0.969456416852937
"VILL",0.564860861743848
"APOL4",0.960739662259543
"ALDH18A1",0.858955692899286
"FANCL",0.982665077971211
"METAP1D",0.79686521625489
"C9orf30",0.949055553617111
"TYW3",0.921295038187502
"GPR125",0.623578889241945
"THNSL1",0.610148445901885
"CTPS2",0.968132446626083
"SPEF2",0.904958731965044
"DLAT",0.928475800681577
"ARV1",0.9571880392729
"PPP1R9A",0.775895760277555
"DUSP19",0.872735199122928
"SYTL3",0.726845778477622
"PGM2",0.984073027581915
"PCBP4",0.670665103073001
"BOLA3-AS1",0.683664619885478
"HMGN3",0.855250156274806
"REPS2",0.953725563343255
"MAP9",0.99496449631677
"ZNF232",0.980451659575212
"CLYBL",0.944986391557936
