ID	entrezID
NDN	4692
WIPF3	644150
CXADR	1525
P2RX5	5026
ZFP112	NA
DPY19L4	286148
ST8SIA1	6489
PTGR2	145482
PRSS21	10942
UNG	7374
SLC2A10	81031
KLHDC1	122773
ACACB	32
ZNF711	7552
SPHAR	NA
FAM47E	100129583
LRG1	116844
ZNF69	7620
OAF	220323
ANKRD36BP2	645784
RASGEF1A	221002
CCDC8	83987
CDCA7	83879
FBLN1	2192
SNHG4	724102
IL7	3574
ZNF404	342908
TPD52	7163
SCARB2	950
KDELC2	NA
SLC10A4	201780
PALM	5064
DPPA4	55211
ZNF610	162963
ZNF248	57209
LOC100507433	NA
HPDL	84842
SAMD13	148418
MAP2K6	5608
GORAB	92344
FZD3	7976
ZNF502	91392
FAM171A1	221061
TMEM14A	28978
LOC646762	646762
OSBPL7	114881
STAC	6769
RAG2	5897
KIT	3815
MAGEF1	64110
CDK6	1021
LOC100506433	NA
SAMD10	140700
WNK2	65268
THEM4	117145
IFFO2	126917
GPC6	10082
ZNF334	55713
GK5	256356
CECR5	NA
SLC29A2	3177
EEF1E1	9521
ZNF485	220992
GLRB	2743
ABHD14A	25864
PHF6	84295
TSPYL5	85453
PAR5	NA
DZANK1	55184
C17orf96	NA
C9orf125	NA
RNF207	388591
NTN1	9423
BBS2	583
CASD1	64921
PDE6B	5158
HTR1F	3355
E2F5	1875
NEO1	4756
ACP6	51205
EDNRB	1910
SOX21	11166
APOE	348
PMEPA1	56937
TMEM177	80775
DIS3L	115752
TTC40	NA
AGFG2	3268
FAM35A	NA
SCAI	286205
OSBPL1A	114876
MGAT4A	11320
XPA	7507
TMEM144	55314
XAF1	54739
DDN	23109
ZAR1	326340
MPV17L	255027
KHDRBS3	10656
CCNJ	54619
GPR56	NA
UBE2D1	7321
NSMAF	8439
AFAP1L1	134265
TXNRD3	114112
SLC5A3	6526
PRRG1	5638
ERO1L	NA
SACS	26278
TMEM97	27346
TRAF5	7188
HOXA10	3206
PANK1	53354
PRORSD1P	344405
FGFR1	2260
GCSH	2653
MAGED1	9500
PCYOX1	51449
TIFA	92610
CGREF1	10669
MTHFS	10588
NHLRC3	387921
ZNF285	26974
USP13	8975
GNA15	2769
LOC100131067	NA
TOM1L1	10040
ZNF93	81931
POLR3G	10622
TMEM107	84314
ESRRG	2104
TTC39C	125488
LHFP	NA
LOC100288432	NA
HILPDA	29923
SYCP1	6847
FAM45B	NA
NPM1	4869
DIXDC1	85458
LOC100505687	NA
USP40	55230
FAM120C	54954
SEC14L3	266629
CASP6	839
DIMT1	27292
GRAMD1A	57655
THRB	7068
SEPN1	NA
ME2	4200
DFNB59	NA
ZNF124	7678
CERS6	253782
ARHGAP15	55843
SLC9A2	6549
APPL1	26060
MSRB3	253827
FAM82B	NA
TTC19	54902
EFCAB4B	NA
CSRP1	1465
PODXL2	50512
ZXDB	158586
KCNQ5	56479
LRRC37BP1	147172
NCF4	4689
FAM174A	345757
LOC286467	NA
EIF4E3	317649
MARVELD1	83742
RNF170	81790
LOC730101	730101
TBC1D4	9882
SPIN3	169981
MEX3A	92312
ZNF470	388566
TRIM29	23650
PLEKHG1	57480
RNF130	55819
MGST2	4258
CNRIP1	25927
LYPLA1	10434
RRN3P1	730092
C2CD2	25966
RAB34	83871
ABHD15	116236
KIAA1804	NA
PATZ1	23598
ARNTL2	NA
PIEZO2	63895
RAPH1	65059
SGPP1	81537
LOC646851	NA
EFHA2	NA
FSCN1	6624
REC8	9985
GJD3	125111
SLC25A23	79085
FAM136A	84908
HIBCH	26275
SPIN1	10927
LDHA	3939
MIPEP	4285
SGSM2	9905
CYP4V2	285440
DFNB31	NA
LY6E	4061
LOC100652846	NA
BDH2	56898
ALDH7A1	501
EFHD2	79180
GAMT	2593
LOC148189	NA
FZD6	8323
IFI44	10561
SLC39A14	23516
FLJ34208	NA
OPN3	23596
CCDC165	NA
SLC27A5	10998
ERLIN1	10613
AKR1C3	8644
ZXDA	7789
LOC100507501	NA
C2orf72	257407
KIAA0895	NA
ABO	28
TFAP4	7023
CYP7B1	9420
LOC100505715	100505715
FAM89A	375061
PIGZ	80235
RAPGEF5	9771
TMTC4	84899
ZDHHC20	253832
SPATS2	65244
C7orf29	NA
GNG2	54331
ZMYM3	9203
PCSK4	54760
PHACTR2	9749
MBLAC2	153364
SLC35F2	54733
PARP8	79668
LRRC6	NA
GIMAP2	26157
SOX4	6659
SMYD2	56950
PTPN13	5783
TRIM32	22954
STMN3	50861
LIMD1	8994
BLMH	642
LOC730102	NA
ACADSB	36
GPR68	8111
DPP4	1803
TERT	7015
RALB	5899
ZNF496	84838
CBX1	10951
WDR27	253769
PPP1R26	9858
TAMM41	132001
IGLL1	3543
NME7	29922
FBXL17	64839
ARHGAP4	393
SOCS6	9306
TBC1D9B	23061
IMPDH1	3614
PGRMC1	10857
ZMYM6NB	NA
PFKFB4	5210
LINC00032	158035
ATM	472
CDSN	1041
FKBP7	51661
ARL10	285598
MPP6	NA
NT5C3L	NA
C9orf21	NA
AMOTL1	154810
FAM162B	221303
LRP8	7804
VAV3	10451
LOC729683	729683
SDHAP3	728609
CITED1	4435
GNPNAT1	64841
C1orf233	NA
MCMBP	79892
FAM154B	NA
MCF2L2	23101
MSH6	2956
WSCD2	9671
