"","x"
"NDN",0.94320893596875
"P2RX5",0.616195330531158
"WIPF3",0.94001542322102
"ZFP112",0.98511380510687
"ST8SIA1",0.944114329325434
"VWDE",0.524582117781539
"SLC10A4",0.723130943263396
"PRSS21",0.906206387106204
"SLC2A10",0.974102885681678
"CCDC8",0.662669824958209
"EBPL",0.6350344897172
"SNHG4",0.94514086346971
"PALM",0.858415459839326
"OAF",0.980992582141553
"ALDH1A1",0.590949885122724
"CECR5",0.932466559276122
"RASGEF1A",0.864132981834397
"GAS6",0.516987541243618
"CXADR",0.879006844756544
"ZNF512B",0.594547873109955
"FAM47E",0.810890435688253
"PTGR1",0.527736659231754
"ZNF74",0.686166124808911
"ESRRG",0.930920133293469
"SAMD13",0.883814829230869
"MAP2K6",0.858523677989055
"MYADM",0.803231809513564
"GNA15",0.767916040620046
"ACPL2",0.510107235416856
"FBLN1",0.865518880038574
"DPPA4",0.955172816718367
"SLC29A2",0.926533622693013
"WNK2",0.949715380688752
"IL7",0.968681516318781
"LRG1",0.771339581308417
"TPD52",0.728343461460931
"KIT",0.867750913382716
"LPCAT4",0.67034039323415
"COCH",0.528611536848808
"DDN",0.872031841642707
"UNG",0.931096492082879
"CXorf69",0.576232974088224
"GLRB",0.908966266891319
"EXTL2",0.581437472033579
"ZFP64",0.692908601278719
"IFFO2",0.864171793278356
"PTPN13",0.982360311780988
"NPR3",0.564944214391003
"LOC100507032",0.685139126696999
"NCF4",0.891494856770155
"MTL5",0.691023840476595
"APOE",0.768267037846402
"DNAH14",0.677231239372123
"SAMD10",0.907411851905066
"THNSL1",0.574008736318818
"KLHDC1",0.93749247139806
"NEFH",0.571886705535231
"C17orf96",0.983295251821958
"ACP6",0.765392194932185
"FAM35A",0.801124355772333
"OSBPL7",0.961193539158466
"HPDL",0.985609796237609
"BDH1",0.620864720271033
"MPV17L",0.897059344785202
"PEX11A",0.506308436861785
"PYGO1",0.59535306305573
"MEST",0.667761524087428
"TRIM29",0.809835828530534
"SPIN3",0.891874341027238
"EDNRB",0.969475297972935
"GRAMD1A",0.806248667799425
"SLC12A9",0.65663178891118
"IRF6",0.970766417438846
"FAM171A1",0.794110583858799
"ACACB",0.749161375400444
"RAG2",0.971449507913967
"HES2",0.787562645567162
"TTC40",0.670845189233539
"RCN3",0.6511404774237
"ICA1",0.637323032540135
"ZNF69",0.891026066477283
"NEO1",0.787775277604448
"TMEM14A",0.756471087950376
"MEX3A",0.829836380148621
"PCBP4",0.503636111963713
"DZANK1",0.873910917556138
"LY86-AS1",0.517993128650699
"ZAR1",0.97755501847919
"KCNQ5",0.911301469984473
"SLC5A3",0.836307559357545
"PANK1",0.929794860810882
"TMEM144",0.93694765407056
"SMYD2",0.897144249610087
"TBC1D4",0.712360707582052
"ERO1L",0.948908142280721
"AFAP1L1",0.8286004358517
"ABCA2",0.659780083768748
